bid,wid
15819193,19195697
26067585,46003303
18143858,25491177
15815371,21541867
9403549,14287473
21548950,40714465
20669778,25697024
13584254,18713903
13259882,18461385
17333837,21573838
24820246,2416287
14546626,19112177
18599663,26431596
18050140,25332937
22543835,41325693
9160695,14039744
21853633,41125528
16130291,21955595
2728527,2754161
19163729,21775774
12411832,17393508
9505042,13609540
13532874,18077623
16130048,21979139
24490481,4640799
25677573,26493380
9745880,13088275
7932146,11259924
6979673,6727073
26006618,45924851
16101018,21911319
15800454,20669841
4543484,4592761
11432116,16365570
3086160,3811636
13547699,19060869
25667123,45490241
9938498,14831761
4789801,4854716
17331326,45626006
24944834,13725204
9858735,12873090
17910726,24895710
29857532,1510987
30193726,47207035
17902605,17328606
30645563,45911680
20706762,40026654
25739018,40857932
6413210,6488344
7202831,7897982
7654811,6890544
6980363,6588800
13507212,14512257
25135501,44833032
25111093,44804798
23174274,42720997
27160969,6654434
17706679,24755751
23507745,43111795
13641208,19256026
18490657,21500620
23398849,42955372
27276360,47328247
121121,4640799
16066919,21823194
22747316,40339077
16078411,21411971
25319258,45052215
18053155,23905509
15842421,21408119
18077903,25384143
12365693,15781412
10756240,15667548
21943393,40277014
26067987,46003725
9534404,14420559
13548158,19113330
13531832,19093507
25810097,45665769
25742665,45537337
23507512,43111616
17383994,27356672
22149191,25335083
2460911,2495143
10359546,14470450
23604470,588740
20821249,26830332
19523454,25747377
12305445,17282712
10889249,15689944
17910731,24574896
24453021,21440964
26889519,46521429
21795644,23811929
6957009,7192766
25938003,45835254
16065552,21408527
20442480,26038136
7956991,13301503
16131430,21956651
15981532,21619530
16560648,2032965
8674706,1640941
17086406,21968492
23013640,42667431
25814074,25465275
24120519,43712653
18473768,40361971
20828358,40098572
12979063,19178823
22609307,42097897
7046510,7296583
9485701,14371118
17557581,22957415
24972194,44518639
18630542,17378014
23014711,42580832
12968662,18044854
8492768,11606373
14625642,15718578
18090150,25337782
11179955,15246115
23398837,26542215
25205404,44918079
10402306,14522855
19148372,11283577
8437667,14598314
8480295,919292
17379924,1994708
16117907,21807237
24453071,23986788
22822857,27378456
23834672,43001164
8682579,13554747
25310640,41907960
25614392,45425627
22693222,42205784
17162567,21865808
21863539,41153018
9846048,15388957
27209316,47250707
25588785,42819813
15788973,20434290
16130090,17305270
22948207,21619954
28817172,42038040
11522554,14679606
27170137,45310657
12070846,17038427
21856122,40640797
18090102,27708473
6063187,6239469
25528454,45315922
15819302,21545713
2210921,2457492
24819470,43134689
13529131,19086752
12988988,18195398
7134202,7397180
22693211,42205774
9540168,10661954
18143905,25539400
26795581,42941338
4163411,4210693
13591161,19179194
11192642,16117490
20312459,28147218
25778388,2588650
10447203,13414626
865,4835472
23258113,42799220
13457367,18588471
21412400,40713322
8396337,13008233
16158519,21998935
27204198,47244989
16044981,21823194
26245874,44146594
25111012,44804738
7841445,10934696
25111109,41775373
13521296,21754877
25775893,45625060
11541582,14374946
26245038,46238665
25814278,41884478
6351910,6538485
6987779,2468245
7017447,2782429
22836632,25606007
23092589,558506
10577332,14385974
8719258,16789321
10791807,15704136
24611732,44222866
12158480,17129429
