isbn,bid
9780230342118,15794263
9781101623893,18169937
9781466881501,24467084
9781594746031,17162156
9781476785653,23705512
9781101988787,27434563
9781416563082,6054518
9781400067695,25893709
9780399155673,5867331
9780759524927,9996709
9780061926518,7031099
9781484707234,18513639
9781507060469,
9780393240450,17757956
9780425255667,15734760
9781420135923,22891450
9781476754468,18870275
9780446547604,9781310
9780545883771,
9780399165146,18667949
9780778314936,16074553
9781455527489,15789718
9781595586438,10802160
9780062200594,16065552
9780544217737,18263699
9781400069484,12963396
9780374533557,13539043
9780385343206,13531845
9780679644644,25775893
9780385343664,6834410
9780062398086,23462662
9781451664164,25111109
9781476746586,18143977
9780062220981,16065614
9780385344050,17834904
9780316069441,13521274
9781591845508,13543034
9780914671176,23164960
9780061733147,5640796
9781440697661,7067799
A00B004MYFSD4,
9780698157705,23278696
9780399168796,23281640
9780399170881,24611529
9781429974127,22892327
9780804138147,22716447
A00B00WJ9HBFW,
9781594633171,18693661
9781401947538,27204198
9780399169113,18693917
9781501132582,25814087
9780061957659,7642020
9781476724027,18775347
9780061998577,11724676
9780553392784,27405146
9780062325365,20764793
9781476766232,18668425
9781476765112,18429038
9780679603979,11528480
9781101934852,25489154
9780425275177,24611471
9780316018777,5551522
9780062218346,23462615
9780061928123,11447921
9781421587042,27406780
9780849949203,9668120
9781101621219,17720311
9781476782416,20694952
9780061655982,16137521
9781414365367,
9781476751740,17839081
9781632157027,26872190
9780440334866,7039681
9780525954576,25644437
9780345539113,25387100
9781455501489,11549193
9780374106683,25664459
9780785185314,22237290
9780553908251,12851816
9780062072184,9975779
9780062092816,18072897
9780345541406,25809992
9781101147191,9490461
9780451474476,22062202
9781250076311,25689056
9781632361028,24995280
A00B00S2TO9JY,
9780545652360,18897865
9781476746548,17558077
9780062049803,9118135
9780385539715,22856288
9780804178709,25191538
9780385349956,16071607
9780670023349,13003014
9781101874080,20819682
9780316407038,24396884
9781451693478,13546896
9780316043007,9476510
9780316097574,12823007
9781466847743,23723256
9781455515837,24396998
9781455521203,18353714
9780804139571,18329991
9781942215219,
9780316211024,20455215
9780448487854,26109367
9780316099837,13393441
9780316228534,13497818
9781101636480,18608330
9780312547745,13538757
9781938404504,21716033
9781250002969,12365693
9781101626276,18044383
9780525954903,23398849
9781301440733,18619149
9780316126045,16060716
9780345539953,22747200
9781250019974,15794953
9781459207691,11516138
9781455581153,23507715
9780743294270,7227174
9780758212733,7074734
9781476756530,18048902
9780345534194,23834567
9780062125323,12460899
9780307962331,25241473
9781455525898,20980959
9780345539823,18966819
9780525952589,11737276
9781455503230,16131434
9780446195973,2260637
9780312567248,6073881
9781101602171,17134618
9780446572996,12849385
9781429995658,11536762
9780385538039,19523454
9780399174339,24611929
9780805095838,13167847
9780804140492,25937665
9780375714832,991197
9780765375865,21418013
9780679645092,15799317
9781101616697,19084106
A00B00QKPKFYA,
9781439172803,10816296
9780385535984,15981687
9780804179072,20342582
9780316166300,5771209
9781451661460,13544772
9780316360579,29852424
9780698148437,27799740
9781421580289,25111314
9780061962790,15818146
9781101584927,15713023
9780545813891,23604401
9780979190919,29857532
9780316348751,25162634
9781594203978,13590844
9780062065131,9966093
9781250027665,16049611
9780060746766,2229915
9781612620244,13154150
9781416567301,7042125
9780425269022,18693683
9780316175869,10438971
9780679604440,13530789
9781101612231,16146934
A00B00K8HWYOA,
9781455525904,23437606
9780988210882,18649453
