bid,swid,sid,wid
10818853,15732562,273035,63134
11389875,25660399,527678,87392
13153799,17251309,288263,49600
13349409,18034963,301233,63134
13521296,21754877,896185,176395
13531213,18156927,694450,138522
13531257,18713722,447984,92841
13531384,16690598,556464,115052
13536760,16813814,273034,63134
13586707,19174054,418940,87018
16049611,21823341,698035,138181
16246628,21908548,523506,107860
16613259,2756567,163588,43670
17286958,24243170,688050,137481
17331349,24034629,746777,102787
17405170,24243170,688050,137481
17883715,24173157,556465,115052
18052918,25337597,552173,111792
18340095,21825181,895759,176319
18635622,24992268,497520,49615
18780018,40105040,593220,41192
18966819,26984955,566914,117100
20452210,31832015,657612,40687
20764793,40106030,593253,40351
20768868,40106030,593253,40351
20829029,21825181,895759,176319
20980657,40144215,596436,40543
21805579,26116275,546544,105846
21856122,40640797,760259,43059
21856122,40640797,760259,150353
21856122,40640797,757463,43059
21856122,40640797,757463,150353
21936645,40412738,616299,43581
21936652,41194520,617490,119196
21936663,43312432,713811,89784
21944039,41797265,688051,137481
22143906,41797265,688051,137481
22431058,41852445,641961,90828
22453035,41884478,687724,137422
22500564,25628593,525045,61826
22500564,25628593,525045,44283
22500564,25628593,539374,61826
22500564,25628593,539374,44283
22552546,41194522,617491,119196
22572547,41125566,651913,44279
22608060,26862974,565158,51153
22609800,41125528,702325,139800
22675963,40105061,597707,87307
22723178,26625560,559330,43558
22747200,41166152,616377,46160
22747204,40816611,610557,41620
22747208,21396257,498618,43672
22747310,19237752,372787,46817
22752737,27633786,577997,94408
22780235,25792239,544622,51992
22825382,42379767,869666,171703
22825382,42379767,869666,171704
22825382,42379767,869666,49079
22825382,42379767,869666,63669
22825382,42379767,869686,171703
22825382,42379767,869686,171704
22825382,42379767,869686,49079
22825382,42379767,869686,63669
22825382,42379767,682240,171703
22825382,42379767,682240,171704
22825382,42379767,682240,49079
22825382,42379767,682240,63669
22825382,42379767,788021,171703
22825382,42379767,788021,171704
22825382,42379767,788021,49079
22825382,42379767,788021,63669
22836630,26634437,560079,44237
22836630,26634437,560079,151179
22836630,26634437,761290,44237
22836630,26634437,761290,151179
22859222,41125534,643945,66428
22890098,40747882,606501,121142
22911356,21533073,494614,87572
22926807,25781259,654680,41421
22999164,42563922,679266,57929
23019295,42827960,793463,102787
23165068,42459928,769494,152744
23210097,42206903,865733,170954
23213828,43193467,750912,41082
23213828,43193467,750912,181268
23213828,43193467,922562,41082
23213828,43193467,922562,181268
23256125,42578935,678541,49600
23280482,42248371,832213,83614
23280482,42248371,832213,95485
23280482,42248371,832213,40858
23280482,42248371,832213,40350
23280482,42248371,663198,83614
23280482,42248371,663198,95485
23280482,42248371,663198,40858
23280482,42248371,663198,40350
23280482,42248371,663201,83614
23280482,42248371,663201,95485
23280482,42248371,663201,40858
23280482,42248371,663201,40350
23280482,42248371,663199,83614
23280482,42248371,663199,95485
23280482,42248371,663199,40858
23280482,42248371,663199,40350
23290347,42847591,699969,139436
23295182,32035880,580693,52515
23308134,42090391,653740,107860
23311341,41125529,673725,78155
23355896,42912504,701530,139630
23359216,41371684,629777,118772
23359216,41371684,629777,44180
23359216,41371684,722500,118772
23359216,41371684,722500,44180
23398900,42797145,688457,41454
23434009,42999423,698425,41261
23434009,42999423,698425,41643
23434009,42999423,698433,41261
23434009,42999423,698433,41643
23434061,42999465,721522,49378
23437291,43002071,698681,106249
23450106,42360941,677186,126176
23450112,42461529,746255,40643
23453881,42788872,929050,182440
23453905,42490126,674312,52637
23460830,42753848,685158,136898
23461803,40221440,599096,40769
23461803,40221440,599096,177714
23461803,40221440,903250,40769
23461803,40221440,903250,177714
23492589,41884478,687724,137422
23512999,43116154,901754,177403
23519609,42461503,698424,42804
23532065,40105061,597707,87307
23568174,43959156,753786,92841
23568175,42704733,683146,114440
23568175,42704733,683146,54099
23568175,42704733,763394,114440
23568175,42704733,763394,54099
23575419,25032500,500674,73778
23587120,43190257,707919,105851
23596474,42075406,679130,66627
23604957,40437276,788551,52136
23700728,43310029,735120,78270
23732486,21754877,896185,176395
23735515,40144215,596436,40543
23834667,43272201,712828,40549
23834720,43446338,716379,125350
23941375,42580727,688438,132911
23941397,21855448,446889,40910
23941397,21855448,446889,123082
23941397,21855448,446889,135117
23941397,21855448,598627,40910
23941397,21855448,598627,123082
23941397,21855448,598627,135117
23941397,21855448,675268,40910
23941397,21855448,675268,123082
23941397,21855448,675268,135117
24314741,43893277,726950,98674
24331478,43110668,821698,162445
24388490,43129034,740711,126823
24392693,44279371,738914,40687
24397015,42700811,756794,150209
24467084,42580719,758702,150651
24467095,41132851,629774,118772
24467095,41132851,629774,44180
24467095,41132851,616053,118772
24467095,41132851,616053,44180
24485430,45343765,775056,55369
24495903,42863818,692617,98674
24504691,42667431,677751,127331
24504692,41969586,667944,72912
24611454,43635283,723356,144080
24684895,26542469,928615,43198
24700323,44319513,741954,40351
24701732,44194211,729745,42154
24726584,41969115,651899,41374
24727422,27228790,571567,40549
24727784,41367297,634018,41874
24817626,44458285,735878,146340
24848346,41907960,645533,130530
24868791,44222857,737774,101923
24869671,40864267,611230,40643
24875378,44523691,835973,44044
24875396,44523713,752624,42640
24892864,44541436,751870,41261
24906348,42038145,665234,41029
24917345,41912217,645727,112705
24917371,33210811,582648,64795
24944823,44603249,744149,53023
24950845,44610373,741951,43040
24963343,42901335,692144,92715
25002969,43457942,736929,58713
25010281,44681694,746523,40769
25010281,44681694,746523,44303
25010281,44681694,746523,177714
25010281,44681694,746524,40769
25010281,44681694,746524,44303
25010281,44681694,746524,177714
25010281,44681694,903251,40769
25010281,44681694,903251,44303
25010281,44681694,903251,177714
25026542,44693518,747512,148345
25060128,44681694,746523,40769
25060128,44681694,746523,44303
25060128,44681694,746523,177714
25060128,44681694,746524,40769
25060128,44681694,746524,44303
25060128,44681694,746524,177714
25060128,44681694,903251,40769
25060128,44681694,903251,44303
25060128,44681694,903251,177714
25066590,44146594,750125,40543
25067011,44751809,750127,98398
25073554,26949988,566446,45135
25073554,26949988,566446,123299
25073554,26949988,599769,45135
25073554,26949988,599769,123299
25074850,27669153,693225,44598
25111011,44804609,751899,137840
25125093,43266179,712633,74500
25125093,43266179,712633,40621
25125093,43266179,805204,74500
25125093,43266179,805204,40621
25134015,44828548,834571,164875
25134015,44828548,834571,149269
25134015,44828548,834571,150234
25134015,44828548,752916,164875
25134015,44828548,752916,149269
25134015,44828548,752916,150234
25134015,44828548,757128,164875
25134015,44828548,757128,149269
25134015,44828548,757128,150234
25143992,41128288,615741,99902
25187635,41120683,615322,41963
25187801,44552981,738820,146971
25194147,44904805,869668,171703
25194147,44904805,869668,171704
25194147,44904805,869668,49079
25194147,44904805,869688,171703
25194147,44904805,869688,171704
25194147,44904805,869688,49079
25194147,44904805,768439,171703
25194147,44904805,768439,171704
25194147,44904805,768439,49079
25199272,42038179,652615,46680
25205404,44918079,845505,167001
25209364,42799866,805118,159447
25215947,27026852,567317,43040
25241274,44960908,835975,165167
25241477,44960908,835975,165167
25243409,24252421,474902,47942
25258207,27669153,693225,44598
25259087,40720183,606019,110498
25267699,42172732,658696,124980
25267715,43600883,740732,124980
25300817,44729861,789973,43418
25300823,43272180,715622,43556
25300845,45137948,904418,177868
25361426,42819819,689864,41170
25372739,24064353,468201,40691
25374688,42462101,717220,142893
25379039,40732855,657689,132156
25387351,45137948,904418,177868
25406286,42799135,686702,47858
25430250,44610373,741951,43040
25443305,42819638,721308,41404
25529032,42427416,682810,136470
25531875,24508931,557409,40589
25542178,42819828,758698,150649
25588785,42819813,747099,40546
25604959,41852426,641962,90828
25614660,45424848,779252,99019
25630085,45436495,780793,137481
25643397,42907816,692588,90841
25644601,45460946,781525,63134
25650432,42462015,675324,98674
25658631,44612006,742164,138181
25659220,43458052,784443,155551
25659234,43457987,716391,51419
25664321,43458476,763249,43803
25664321,43458476,763249,105966
25664321,43458476,748993,43803
25664321,43458476,748993,105966
25667215,43458129,728759,48123
25692997,42799162,706969,113400
25697900,42700811,756794,150209
25717804,40431461,606103,49083
25721389,41947924,678991,97353
25733687,45460946,781525,63134
25755119,43082562,703791,47858
25755150,43456626,717219,142893
25788411,41913658,698297,103200
25870753,42955194,697895,40971
25872344,45656922,881960,173844
25930861,44458285,735878,146340
25937666,45624823,792820,40549
25957712,43699375,729011,108050
25976125,42170953,660395,57896
25979615,42742312,718015,40469
25989554,43919924,740737,47858
25999541,45551241,787935,95557
26013738,44222776,778084,52529
26013738,44222776,778084,154421
26013738,44222776,778090,52529
26013738,44222776,778090,154421
26043434,42813606,715831,79180
26048701,45062269,761983,46845
26063809,44603266,744147,47858
26067200,46119106,835976,165167
26084577,42099137,770967,153050
26086440,43266286,778377,41089
26086440,43266286,778377,135431
26086440,43266286,793267,41089
26086440,43266286,793267,135431
26122226,41246718,619326,116838
26155910,24239884,473730,98053
26206821,44044891,747103,79180
26227315,44759727,784649,55425
26248418,44598633,742165,40882
26250362,45949900,805235,64253
26333638,43243534,712634,57401
26333998,43893277,726950,98674
26334002,44603249,744149,53023
26334003,43702584,719856,57401
26368966,42742483,707407,45016
26370317,42179966,718033,112695
26370353,43981459,743324,51312
26384777,41049008,614018,125680
26385320,43071984,712700,40445
26385324,42097845,656891,41048
26515167,26542333,624292,54888
26521568,42099409,670366,134123
26521632,42931863,695971,111874
26542607,44688733,747120,55369
26570709,42955507,697891,43692
26579923,44222703,730417,41029
26795569,44460264,828117,163568
26796490,41497379,667665,41089
26796491,44222820,751679,49916
26868605,32001786,580865,47308
27066316,44223038,730418,112607
27162572,44222878,784139,41029
27201002,43788815,720915,92715
27220780,42099443,771878,51833
27220852,43602301,718508,40483
27221524,44804609,751899,137840
27240151,44188557,729669,96071
27287477,44222940,736534,57896
27407633,43082788,717221,126019
27432625,44222635,732652,41374
27465987,44751809,750127,98398
27478746,31873211,580214,64211
27886833,44146594,750125,40543
27887707,43635283,723356,144080
28016420,41511022,668700,41911
28016420,41511022,668700,59162
28016420,41511022,668700,170846
28016420,41511022,668701,41911
28016420,41511022,668701,59162
28016420,41511022,668701,170846
28016420,41511022,864919,41911
28016420,41511022,864919,59162
28016420,41511022,864919,170846
28129210,44523713,752624,42640
28208252,44740446,749126,45562
28267468,44904805,869668,171703
28267468,44904805,869668,171704
28267468,44904805,869668,49079
28267468,44904805,869688,171703
28267468,44904805,869688,171704
28267468,44904805,869688,49079
28267468,44904805,768439,171703
28267468,44904805,768439,171704
28267468,44904805,768439,49079
28552415,44707128,747783,144827
28817172,42038040,652609,50324
6603335,216590,147003,41620
6980755,2489796,162462,43943
6980755,2489796,162462,95787
6980755,2489796,517855,43943
6980755,2489796,517855,95787
6980827,13560666,222019,55424
6984678,1466917,157411,43790
7287301,1410754,769493,152744
9230209,58217,145261,40843
