primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9781607747307,37,Ten Speed,Marie Kondo,http://www.amazon.com/The-Life-Changing-Magic-Tidying-Decluttering/dp/1607747308?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781607747307.jpg,A guide to decluttering by discarding your expendable objects all at once and taking charge of your space.,2015-07-11,advice-how-to-and-miscellaneous
9780802412706,111,Northfield,Gary Chapman,http://www.amazon.com/The-Love-Languages-Secret-Lasts/dp/0802473156?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780802473158.jpg,"A guide to communicating love in a way a spouse will understand — with quality time, affirmative words, gifts, acts of service and physical touch.",2015-07-11,advice-how-to-and-miscellaneous
9780544609716,12,Houghton Mifflin Harcourt,Melissa Hartwig and Dallas Hartwig,http://www.amazon.com/The-Whole30-30-Day-Health-Freedom/dp/0544609719?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780544609716.jpg,An overview of a 30-day guide to better health and weight loss.,2015-07-11,advice-how-to-and-miscellaneous
9781623363581,37,Rodale,the staff of Thug Kitchen,http://www.amazon.com/Thug-Kitchen-Official-Cookbook-Like/dp/1623363586?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781623363581.jpg,"More than 100 vegan recipes, including cornmeal waffles with strawberry syrup, from the creators of the popular, irreverent website.",2015-07-11,advice-how-to-and-miscellaneous
9781476772295,18,Simon & Schuster,"Laurence J Kotlikoff, Philip Moeller and Paul Solman",http://www.amazon.com/Get-Whats-Yours-Secrets-Security/dp/1476772290?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781476772295.jpg,A guide to deciding when to claim Social Security benefits and to getting all you're eligible for when you do.,2015-07-11,advice-how-to-and-miscellaneous
9780761148579,91,Workman,Heidi Murkoff and Sharon Mazel,http://www.amazon.com/What-Expect-Youre-Expecting-Edition/dp/0761148574?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780761148579.jpg,Advice for parents-to-be.,2015-07-11,advice-how-to-and-miscellaneous
9781592858491,50,Hazelden,Brené Brown,http://www.amazon.com/The-Gifts-Imperfection-Supposed-Embrace/dp/159285849X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781592858491.jpg,"Embracing who you are, not who you should be.",2015-07-11,advice-how-to-and-miscellaneous
9780307986276,36,Harmony,Haylie Pomroy with Eve Adamson,http://www.amazon.com/The-Fast-Metabolism-Diet-Weight/dp/0307986276?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307986276.jpg,A program to lose weight by rotating food groups.,2015-07-11,advice-how-to-and-miscellaneous
9780804141239,6,Crown Business,Marshall Goldsmith and Mark Reiter,http://www.amazon.com/Triggers-Creating-Behavior-Lasts-Becoming-Person/dp/0804141231?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780804141239.jpg,How to resist the tug of habit and embrace change.,2015-07-11,advice-how-to-and-miscellaneous
9780316380102,11,"Little, Brown",David Perlmutter with Kristin Loberg,http://www.amazon.com/Brain-Maker-Power-Microbes-Protect/dp/0316380105?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316380102.jpg,A neurologist links brain health to the population of microbes inhabiting our bodies.,2015-07-11,advice-how-to-and-miscellaneous
