primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780375899881,1,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-08-15,childrens-middle-grade-e-book
9781484715116,1,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-08-15,childrens-middle-grade-e-book
9781627793971,1,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-08-15,childrens-middle-grade-e-book
9780545652360,1,Scholastic Press,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-08-15,childrens-middle-grade-e-book
9780061972652,1,HarperCollins,Neil Gaiman,http://www.amazon.com/The-Graveyard-Book-Neil-Gaiman/dp/0060530928?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780060530945.jpg,,2015-08-15,childrens-middle-grade-e-book
9780375899881,2,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-08-22,childrens-middle-grade-e-book
9781484712955,1,Disney-Hyperion,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,,2015-08-22,childrens-middle-grade-e-book
9781484715116,2,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-08-22,childrens-middle-grade-e-book
9780545652360,2,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-08-22,childrens-middle-grade-e-book
9781627793971,2,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-08-22,childrens-middle-grade-e-book
9780375899881,3,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-08-29,childrens-middle-grade-e-book
9781484715116,3,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-08-29,childrens-middle-grade-e-book
9781627793971,3,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-08-29,childrens-middle-grade-e-book
9781484712955,2,Disney-Hyperion,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,,2015-08-29,childrens-middle-grade-e-book
9780545652360,3,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-08-29,childrens-middle-grade-e-book
9780545522304,1,Scholastic Press,Holly Black and Cassandra Clare,http://www.amazon.com/The-Copper-Gauntlet-Magisterium-Book-ebook/dp/B00SLSIWAS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545522304.jpg,,2015-09-05,childrens-middle-grade-e-book
9781484715116,4,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-09-05,childrens-middle-grade-e-book
9780375899881,4,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-09-05,childrens-middle-grade-e-book
9781627793971,4,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-09-05,childrens-middle-grade-e-book
9781484712955,3,Disney-Hyperion,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,,2015-09-05,childrens-middle-grade-e-book
9780545833158,1,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-09-12,childrens-middle-grade-e-book
9780545652360,4,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-09-12,childrens-middle-grade-e-book
9781484715116,5,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-09-12,childrens-middle-grade-e-book
9780375899881,5,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-09-12,childrens-middle-grade-e-book
9780545522304,2,Scholastic,Holly Black and Cassandra Clare,http://www.amazon.com/The-Copper-Gauntlet-Magisterium-Book-ebook/dp/B00SLSIWAS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545522304.jpg,,2015-09-12,childrens-middle-grade-e-book
9780545833158,2,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-09-19,childrens-middle-grade-e-book
9781484715116,6,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-09-19,childrens-middle-grade-e-book
9780375899881,6,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-09-19,childrens-middle-grade-e-book
9780545652360,5,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-09-19,childrens-middle-grade-e-book
9781484708217,1,Disney-Hyperion,Heidi Schulz,http://www.amazon.com/Hooks-Revenge-Book-ebook/dp/B00IYXRUX0?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484708217.jpg,,2015-09-19,childrens-middle-grade-e-book
9780545833158,3,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-09-26,childrens-middle-grade-e-book
9781484715116,7,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-09-26,childrens-middle-grade-e-book
9780375899881,7,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-09-26,childrens-middle-grade-e-book
9780545652360,6,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-09-26,childrens-middle-grade-e-book
9781627793971,5,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-09-26,childrens-middle-grade-e-book
9780545833158,4,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-10-03,childrens-middle-grade-e-book
9781484715116,8,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-10-03,childrens-middle-grade-e-book
9780375899881,8,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-10-03,childrens-middle-grade-e-book
9780545652360,7,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-10-03,childrens-middle-grade-e-book
9781627793971,6,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-10-03,childrens-middle-grade-e-book
9781484719329,1,Disney-Hyperion,Rick Riordan,http://www.amazon.com/Magnus-Chase-Gods-Asgard-Book-ebook/dp/B00O87NWBK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423160915.jpg,,2015-10-10,childrens-middle-grade-e-book
9780545833158,5,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-10-10,childrens-middle-grade-e-book
9780375899881,9,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-10-10,childrens-middle-grade-e-book
9780545652360,8,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-10-10,childrens-middle-grade-e-book
9781627793971,7,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-10-10,childrens-middle-grade-e-book
9781484719329,2,Disney-Hyperion,Rick Riordan,http://www.amazon.com/Magnus-Chase-Gods-Asgard-Book-ebook/dp/B00O87NWBK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423160915.jpg,,2015-10-17,childrens-middle-grade-e-book
9780545833158,6,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-10-17,childrens-middle-grade-e-book
9781627793971,8,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-10-17,childrens-middle-grade-e-book
9780545652360,9,Scholastic,David Baldacci,http://www.amazon.com/The-Finisher-Content-E-book-Edition-ebook/dp/B00EOALKXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545652360.jpg,,2015-10-17,childrens-middle-grade-e-book
9780375899881,10,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-10-17,childrens-middle-grade-e-book
9781484719329,3,Disney-Hyperion,Rick Riordan,http://www.amazon.com/Magnus-Chase-Gods-Asgard-Book-ebook/dp/B00O87NWBK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423160915.jpg,,2015-10-24,childrens-middle-grade-e-book
9780061978777,1,HarperCollins,Sarah Weeks,http://www.amazon.com/So-B-It-Sarah-Weeks-ebook/dp/B002R2OFDM?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780061978777.jpg,,2015-10-24,childrens-middle-grade-e-book
9780545833158,7,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-10-24,childrens-middle-grade-e-book
9781627793971,9,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-10-24,childrens-middle-grade-e-book
9781484715116,9,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-10-24,childrens-middle-grade-e-book
9781484719329,4,Disney-Hyperion,Rick Riordan,http://www.amazon.com/Magnus-Chase-Gods-Asgard-Book-ebook/dp/B00O87NWBK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423160915.jpg,,2015-10-31,childrens-middle-grade-e-book
9780545833158,8,Scholastic,David Baldacci,http://www.amazon.com/The-Keeper-Vega-Jane-Book-ebook/dp/B00S1KX4RW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545833158.jpg,,2015-10-31,childrens-middle-grade-e-book
9780375899881,11,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,,2015-10-31,childrens-middle-grade-e-book
9781484715116,10,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,,2015-10-31,childrens-middle-grade-e-book
9781627793971,10,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,,2015-10-31,childrens-middle-grade-e-book
