primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780375869020,1,Knopf,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,A boy with a facial deformity enters a mainstream school.,2015-08-15,childrens-middle-grade-hardcover
9781627793964,1,Holt,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,An account of the collapse of the Third Reich and the death of the Nazi leader.,2015-08-15,childrens-middle-grade-hardcover
9781484709016,1,Disney-Hyperion,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,"In 1899, children go missing at a sumptuous Vanderbilt estate.",2015-08-15,childrens-middle-grade-hardcover
9780399252518,1,Nancy Paulsen,Jacqueline Woodson,http://www.amazon.com/Brown-Girl-Dreaming-Jacqueline-Woodson/dp/0399252517?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399252518.jpg,A memoir in verse; a 2014 National Book Award winner.,2015-08-15,childrens-middle-grade-hardcover
9780316327930,1,"Little, Brown",Malala Yousafzai and Patricia McCormick,http://www.amazon.com/Am-Malala-Education-Changed-Readers/dp/031632793X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316327930.jpg,A girl risks her life for education.,2015-08-15,childrens-middle-grade-hardcover
9780544107717,1,Houghton Mifflin Harcourt,Kwame Alexander,http://www.amazon.com/The-Crossover-Kwame-Alexander-ebook/dp/B00E78IBAC?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780544289598.jpg,"A hoops prodigy’s family story, told in verse.",2015-08-15,childrens-middle-grade-hardcover
9780872866836,1,City Lights,Kate Schatz,http://www.amazon.com/Rad-American-Women-A-Z-Trailblazers/dp/0872866831?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780872866836.jpg,"History-shaping rebels, trailblazers and visionaries.",2015-08-15,childrens-middle-grade-hardcover
9780553536904,1,Random House,David Lewman,http://www.amazon.com/Jurassic-Special-Edition-Junior-Novelization/dp/0553536907?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553536904.jpg,More prehistoric havoc; the junior novelization.,2015-08-15,childrens-middle-grade-hardcover
9780385743785,1,Delacorte,Louis Sachar,http://www.amazon.com/Fuzzy-Mud-Louis-Sachar/dp/0385743785?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385743785.jpg,"Trying to avoid a bully, two friends find much bigger trouble.",2015-08-15,childrens-middle-grade-hardcover
9780399162596,1,Nancy Paulsen,Lynda Mullaly Hunt,http://www.amazon.com/Fish-Tree-Lynda-Mullaly-Hunt/dp/0399162593?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399162596.jpg,A new teacher helps a disruptive girl overcome her dyslexia.,2015-08-15,childrens-middle-grade-hardcover
