primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9781484720974,10,Disney Publishing Worldwide,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,Children of famous villains band together to retrieve the Dragon’s Eye; a Descendants novel.,2015-07-11,childrens-middle-grade
9780375869020,137,Knopf Doubleday Publishing,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,A boy with a facial deformity enters a mainstream school.,2015-07-11,childrens-middle-grade
9781627793964,5,Henry Holt & Company,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,An account of the collapse of the Third Reich and the death of the Nazi leader.,2015-07-11,childrens-middle-grade
9780316299954,3,"Little, Brown & Company",,http://www.amazon.com/Minions-Junior-Novel-Sadie-Chesterfield/dp/0316299952?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316299954.jpg,"Good servants, bad masters; the junior novelization.",2015-07-11,childrens-middle-grade
9780736433129,3,Random House/Disney Publishing Worldwide,,http://www.amazon.com/Inside-Junior-Novelization-Disney-Pixar/dp/0736433120?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780736433129.jpg,Inside the mind of an 11-year-old; the junior novelization.,2015-07-11,childrens-middle-grade
9780553536904,3,Random House Publishing,David Lewman,http://www.amazon.com/Jurassic-Special-Edition-Junior-Novelization/dp/0553536907?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553536904.jpg,More prehistoric havoc; the junior novelization.,2015-07-11,childrens-middle-grade
9780142422861,13,Penguin Group,Holly Goldberg Sloan,http://www.amazon.com/Counting-7s-Holly-Goldberg-Sloan/dp/0803738552?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803738553.jpg,Willow struggles to adjust after the death of her adoptive parents.,2015-07-11,childrens-middle-grade
9781416971719,80,Simon & Schuster,Sharon M Draper,http://www.amazon.com/Out-My-Mind-Sharon-Draper/dp/1416971718?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781416971719.jpg,A brilliant girl with cerebral palsy longs to speak.,2015-07-11,childrens-middle-grade
9780547577319,58,Houghton Mifflin Harcourt,Linda Sue Park,http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780547577319.jpg,A Sudanese tale of survival.,2015-07-11,childrens-middle-grade
9780061992278,121,HarperCollins Publishers,Katherine Applegate,http://www.amazon.com/The-Only-Ivan-Katherine-Applegate/dp/0061992275?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780061992278.jpg,A gorilla living in a mall meets an elephant.,2015-07-11,childrens-middle-grade
9781609580834,0,American Girl Publishing,Valorie Schaefer,http://www.amazon.com/The-Care-Keeping-You-Younger/dp/1609580834?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781609580834.jpg,The changing body.,2015-07-11,childrens-middle-grade
9780061972652,0,HarperCollins Publishers,Neil Gaiman,http://www.amazon.com/The-Graveyard-Book-Neil-Gaiman/dp/0060530928?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780060530945.jpg,"To avoid a killer, a boy lives in a cemetery. ",2015-07-11,childrens-middle-grade
9780399252518,0,Penguin Group,Jacqueline Woodson,http://www.amazon.com/Brown-Girl-Dreaming-Jacqueline-Woodson/dp/0399252517?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399252518.jpg,A memoir in verse; a 2014 National Book Award winner.,2015-07-11,childrens-middle-grade
9780544107717,0,Houghton Mifflin Harcourt Publishing,Kwame Alexander,http://www.amazon.com/The-Crossover-Kwame-Alexander-ebook/dp/B00E78IBAC?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780544289598.jpg,"A hoops prodigy’s family story, told in verse.",2015-07-11,childrens-middle-grade
9780763676711,0,Candlewick,Kate DiCamillo,http://www.amazon.com/Flora-Ulysses-The-Illuminated-Adventures/dp/076366040X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780763660406.jpg,A rodent with unusual powers.,2015-07-11,childrens-middle-grade
9781484720974,11,Disney Publishing Worldwide,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,Children of famous villains band together to retrieve the Dragon’s Eye; a Descendants novel.,2015-07-18,childrens-middle-grade
9780375869020,138,Knopf Doubleday Publishing,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,A boy with a facial deformity enters a mainstream school.,2015-07-18,childrens-middle-grade
9781416971719,81,Simon & Schuster,Sharon M Draper,http://www.amazon.com/Out-My-Mind-Sharon-Draper/dp/1416971718?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781416971719.jpg,A brilliant girl with cerebral palsy longs to speak.,2015-07-18,childrens-middle-grade
9781484709016,1,Disney Publishing Worldwide,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,"In 1899, children go missing at a sumptuous Vanderbilt estate.",2015-07-18,childrens-middle-grade
9780316299954,4,"Little, Brown & Company",,http://www.amazon.com/Minions-Junior-Novel-Sadie-Chesterfield/dp/0316299952?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316299954.jpg,"Good servants, bad masters; the junior novelization.",2015-07-18,childrens-middle-grade
9780736433129,4,Random House/Disney Publishing Worldwide,,http://www.amazon.com/Inside-Junior-Novelization-Disney-Pixar/dp/0736433120?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780736433129.jpg,Inside the mind of an 11-year-old; the junior novelization.,2015-07-18,childrens-middle-grade
9781627793964,6,Henry Holt & Company,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,An account of the collapse of the Third Reich and the death of the Nazi leader.,2015-07-18,childrens-middle-grade
9781484726143,1,Disney Publishing Worldwide,adapted  Rico Green,http://www.amazon.com/Descendants-Junior-Novel-Rico-Green/dp/1484726146?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484726143.jpg,A second chance for the offspring of evil; the  junior novelization.,2015-07-18,childrens-middle-grade
9780061972652,2,HarperCollins Publishers,Neil Gaiman,http://www.amazon.com/The-Graveyard-Book-Neil-Gaiman/dp/0060530928?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780060530945.jpg,"To avoid a killer, a boy lives in a cemetery. ",2015-07-18,childrens-middle-grade
9780142422861,14,Penguin Group,Holly Goldberg Sloan,http://www.amazon.com/Counting-7s-Holly-Goldberg-Sloan/dp/0803738552?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803738553.jpg,Willow struggles to adjust after the death of her adoptive parents.,2015-07-18,childrens-middle-grade
9781609580834,0,American Girl Publishing,Valorie Schaefer,http://www.amazon.com/The-Care-Keeping-You-Younger/dp/1609580834?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781609580834.jpg,The changing body.,2015-07-18,childrens-middle-grade
9780553536904,0,Random House Publishing,David Lewman,http://www.amazon.com/Jurassic-Special-Edition-Junior-Novelization/dp/0553536907?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553536904.jpg,More prehistoric havoc; the junior novelization.,2015-07-18,childrens-middle-grade
9780763678883,0,Candlewick,Shannon Hale and Dean Hale,http://www.amazon.com/The-Princess-Black-Shannon-Hale/dp/076366510X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780763665104.jpg,Princess Magnolia’s alter ego.,2015-07-18,childrens-middle-grade
9780547577319,0,Houghton Mifflin Harcourt,Linda Sue Park,http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780547577319.jpg,A Sudanese tale of survival.,2015-07-18,childrens-middle-grade
9780062420398,0,HarperCollins Publishers,Boaz Yakin and Sheldon Lettich,http://www.amazon.com/Max-Best-Friend-Hero-Marine/dp/0062420399?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062420398.jpg,The story of a canine military hero; also a movie.,2015-07-18,childrens-middle-grade
9781484720974,12,Disney Publishing Worldwide,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,Children of famous villains band together to retrieve the Dragon’s Eye; a Descendants novel.,2015-07-25,childrens-middle-grade
9780375869020,139,Knopf Doubleday Publishing,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,A boy with a facial deformity enters a mainstream school.,2015-07-25,childrens-middle-grade
9781484726143,2,Disney Publishing Worldwide,adapted  Rico Green,http://www.amazon.com/Descendants-Junior-Novel-Rico-Green/dp/1484726146?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484726143.jpg,A second chance for the offspring of evil; the  junior novelization.,2015-07-25,childrens-middle-grade
9780062420398,1,HarperCollins Publishers,Boaz Yakin and Sheldon Lettich,http://www.amazon.com/Max-Best-Friend-Hero-Marine/dp/0062420399?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062420398.jpg,The story of a canine military hero; also a movie.,2015-07-25,childrens-middle-grade
9780316299954,5,"Little, Brown & Company",,http://www.amazon.com/Minions-Junior-Novel-Sadie-Chesterfield/dp/0316299952?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316299954.jpg,"Good servants, bad masters; the junior novelization.",2015-07-25,childrens-middle-grade
9781627793964,7,Henry Holt & Company,Bill O'Reilly,http://www.amazon.com/Hitlers-Last-Days-Notorious-Dictator-ebook/dp/B00PP6WQ4C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627793971.jpg,An account of the collapse of the Third Reich and the death of the Nazi leader.,2015-07-25,childrens-middle-grade
9780553536904,4,Random House Publishing,David Lewman,http://www.amazon.com/Jurassic-Special-Edition-Junior-Novelization/dp/0553536907?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553536904.jpg,More prehistoric havoc; the junior novelization.,2015-07-25,childrens-middle-grade
9780736433129,5,Random House/Disney Publishing Worldwide,,http://www.amazon.com/Inside-Junior-Novelization-Disney-Pixar/dp/0736433120?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780736433129.jpg,Inside the mind of an 11-year-old; the junior novelization.,2015-07-25,childrens-middle-grade
9780142422861,15,Penguin Group,Holly Goldberg Sloan,http://www.amazon.com/Counting-7s-Holly-Goldberg-Sloan/dp/0803738552?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803738553.jpg,Willow struggles to adjust after the death of her adoptive parents.,2015-07-25,childrens-middle-grade
9780547577319,59,Houghton Mifflin Harcourt,Linda Sue Park,http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780547577319.jpg,A Sudanese tale of survival.,2015-07-25,childrens-middle-grade
9780763678883,0,Candlewick,Shannon Hale and Dean Hale,http://www.amazon.com/The-Princess-Black-Shannon-Hale/dp/076366510X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780763665104.jpg,Princess Magnolia’s alter ego.,2015-07-25,childrens-middle-grade
9781609580834,0,American Girl Publishing,Valorie Schaefer,http://www.amazon.com/The-Care-Keeping-You-Younger/dp/1609580834?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781609580834.jpg,The changing body.,2015-07-25,childrens-middle-grade
9781416971719,0,Simon & Schuster,Sharon M Draper,http://www.amazon.com/Out-My-Mind-Sharon-Draper/dp/1416971718?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781416971719.jpg,A brilliant girl with cerebral palsy longs to speak.,2015-07-25,childrens-middle-grade
9780061992278,0,HarperCollins Publishers,Katherine Applegate,http://www.amazon.com/The-Only-Ivan-Katherine-Applegate/dp/0061992275?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780061992278.jpg,A gorilla living in a mall meets an elephant.,2015-07-25,childrens-middle-grade
9781484709016,0,Disney Publishing Worldwide,Robert Beatty,http://www.amazon.com/Serafina-Black-Cloak-Robert-Beatty-ebook/dp/B00RY6YXPG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484715116.jpg,"In 1899, children go missing at a sumptuous Vanderbilt estate.",2015-07-25,childrens-middle-grade
9781484720974,13,Disney Publishing Worldwide,Melissa de la Cruz,http://www.amazon.com/Isle-Lost-The-Descendants-Novel-ebook/dp/B00RY6YYR8?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484712955.jpg,Children of famous villains band together to retrieve the Dragon’s Eye; a Descendants novel.,2015-08-01,childrens-middle-grade
9780375869020,140,Knopf Doubleday Publishing,R J Palacio,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375899881.jpg,A boy with a facial deformity enters a mainstream school.,2015-08-01,childrens-middle-grade
9781484726143,3,Disney Publishing Worldwide,adapted  Rico Green,http://www.amazon.com/Descendants-Junior-Novel-Rico-Green/dp/1484726146?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484726143.jpg,A second chance for the offspring of evil; the junior novelization.,2015-08-01,childrens-middle-grade
