primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780316037914,1,"Little, Brown",James Patterson and Michael Ledwidge,http://www.amazon.com/Tick-Tock-Michael-Bennett-Book-ebook/dp/B0047Y16MG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780446584333.jpg,The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-01-30,combined-print-and-e-book-fiction
9780307272119,1,Knopf Doubleday,Stieg Larsson,http://www.amazon.com/Girl-Dragon-Tattoo-Stieg-Larsson/dp/0307269752?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307949486.jpg,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-01-30,combined-print-and-e-book-fiction
9780307272300,1,Knopf Doubleday,Stieg Larsson,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307476159.jpg,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-01-30,combined-print-and-e-book-fiction
9780307593672,1,Knopf Doubleday,Stieg Larsson,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307593672.jpg,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-01-30,combined-print-and-e-book-fiction
9781565125858,1,Algonquin,Sara Gruen,http://www.amazon.com/Water-Elephants-Sara-Gruen/dp/1616200715?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781616200718.jpg,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-01-30,combined-print-and-e-book-fiction
9780385534130,1,Knopf Doubleday,John Grisham,http://www.amazon.com/The-Confession-Novel-John-Grisham/dp/0385528043?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780440245117.jpg,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-01-30,combined-print-and-e-book-fiction
9780307271341,1,Knopf Doubleday,Abraham Verghese,http://www.amazon.com/Cutting-Stone-novel-Abraham-Verghese/dp/0375414495?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375714368.jpg,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-01-30,combined-print-and-e-book-fiction
9780778329251,1,Harlequin,Susan Wiggs,http://www.amazon.com/Marrying-Daisy-Bellamy-Lakeshore-Chronicles/dp/0778329259?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781426884269.jpg,"A woman struggles for years to choose between two men. And then, one fateful day, the decision is made for her.",2011-01-30,combined-print-and-e-book-fiction
9781440697661,1,Penguin Group,Kathryn Stockett,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781440697661.jpg,A young white woman and two black maids in 1960s Mississippi.,2011-01-30,combined-print-and-e-book-fiction
9780446577892,1,Grand Central,Brad Meltzer,http://www.amazon.com/The-Inner-Circle-Brad-Meltzer-ebook/dp/B0047Y174I?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780446616157.jpg,An archivist discovers a book that once belonged to George Washington and conceals a deadly secret.,2011-01-30,combined-print-and-e-book-fiction
9781101486108,1,Penguin Group,Stuart Woods,http://www.amazon.com/Strategic-Moves-Stone-Barrington-Book/dp/0399157115?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101486108.jpg,"In the 19th Stone Barrington novel, the New York lawyer works with the C.I.A. to transport a fugitive.",2011-01-30,combined-print-and-e-book-fiction
9780778329312,1,Harlequin,Ron Carr,http://www.amazon.com/Wild-Creek-Virgin-River-Book/dp/0778329313?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780778329312.jpg,"In Virgin River, a former Army pilot recuperating from a helicopter crash is drawn to a corporate executive searching for a simpler life.",2011-01-30,combined-print-and-e-book-fiction
9781101476543,1,Penguin Group,Tom Clancy with Grant Blackwood,http://www.amazon.com/Dead-Alive-Tom-Clancy/dp/0399157239?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780425263532.jpg,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,2011-01-30,combined-print-and-e-book-fiction
9780440339748,1,Random House,Karen Marie Moning,http://www.amazon.com/Shadowfever-Karen-Marie-Moning/dp/0385341679?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780440244417.jpg,"Hunting for her sister’s murderer, MacKayla Lane is caught up in the struggle between humans and the Fae.",2011-01-30,combined-print-and-e-book-fiction
