primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780679603757,1,Random House,Laura Hillenbrand,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400064168.jpg,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,2011-01-30,combined-print-and-e-book-nonfiction
9780849946158,1,Thomas Nelson,Todd Burpo with Lynn Vincent,http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780849949203.jpg,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,2011-01-30,combined-print-and-e-book-nonfiction
9781594202841,1,Penguin Group,Amy Chua,http://www.amazon.com/Battle-Hymn-Tiger-Mother-Chua/dp/1594202842?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594202841.jpg,A Chinese-American mother makes a case for strict and demanding parenting.,2011-01-30,combined-print-and-e-book-nonfiction
9780307590619,1,Crown,George W Bush,http://www.amazon.com/Decision-Points-George-W-Bush/dp/0307590615?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307590619.jpg,"The former president’s memoir discusses his Christianity and the end of his drinking; his relationships with members of his family; and critical White House decisions on 9/11, Iraq and Katrina.",2011-01-30,combined-print-and-e-book-nonfiction
9780307265630,1,Knopf Doubleday,Brian Greene,http://www.amazon.com/The-Hidden-Reality-Parallel-Universes/dp/0307265633?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307595256.jpg,A physicist explains various theories involving the existence of parallel universes.,2011-01-30,combined-print-and-e-book-nonfiction
9780316001922,1,"Little, Brown",Stacy Schiff,http://www.amazon.com/Cleopatra-A-Life-Stacy-Schiff/dp/0316001929?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316001946.jpg,"This biography portrays the Macedonian-Egyptian queen in all her ambition, audacity and formidable intelligence.",2011-01-30,combined-print-and-e-book-nonfiction
9780385532945,1,Knopf Doubleday,George Friedman,http://www.amazon.com/The-Next-Decade-Where-Going/dp/0385532946?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307476395.jpg,"The geopolitical forecaster who wrote ""The Next 100 Years"" details the enormous transition he expects over the coming 10.",2011-01-30,combined-print-and-e-book-nonfiction
9781400052172,1,Crown,Rebecca Skloot,http://www.amazon.com/The-Immortal-Life-Henrietta-Lacks/dp/1400052181?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400052189.jpg,The story of a woman whose cancer cells were extensively cultured without her permission in 1951.,2011-01-30,combined-print-and-e-book-nonfiction
9781416583431,1,Simon & Schuster,Alexandra Horowitz,http://www.amazon.com/Inside-Dog-What-Dogs-Smell/dp/1416583432?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781416583431.jpg,What the world is like from a dog’s point of view.,2011-01-30,combined-print-and-e-book-nonfiction
9780520267190,1,University of California,Mark Twain,http://www.amazon.com/Autobiography-Mark-Twain-Volume-Authoritative/dp/0520267192?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780520267190.jpg,"In his autobiography, published unexpurgated for the first time, Twain is pointedly political and willing to play the angry prophet.",2011-01-30,combined-print-and-e-book-nonfiction
9780062002945,1,HarperCollins,Justin Halpern,http://www.amazon.com/Sh-t-My-Dad-Says-ebook/dp/B003H4I58K?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062002945.jpg,"A coming-of-age memoir organized around the musings, purveyed on Twitter, of the author’s father.",2011-01-30,combined-print-and-e-book-nonfiction
9780316034388,1,"Little, Brown",Keith Richards with James Fox,http://www.amazon.com/Life-Keith-Richards/dp/031603441X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316128568.jpg,The Rolling Stones guitarist’s revealing autobiography is also a portrait of the era when rock ’n’ roll came of age.,2011-01-30,combined-print-and-e-book-nonfiction
9780743247542,1,Simon & Schuster,Jeannette Walls,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780743247542.jpg,The author recalls a bizarre childhood during which she and her siblings were constantly moved from place to place.,2011-01-30,combined-print-and-e-book-nonfiction
9780060936228,1,HarperCollins,Patti Smith,http://www.amazon.com/Just-Kids-Patti-Smith-ebook/dp/B003F1WM2K?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780060936228.jpg,The godmother of punk recalls her time with Robert Mapplethorpe and their yearnings for a life in art in New York City.,2011-01-30,combined-print-and-e-book-nonfiction
9780553806700,1,Random House,James D Hornfischer,http://www.amazon.com/Neptunes-Inferno-U-S-Navy-Guadalcanal-ebook/dp/B004C43FXE?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553806700.jpg,A history of the U.S.-Japanese naval battles during the Guadalcanal campaign of 1942.,2011-01-30,combined-print-and-e-book-nonfiction
9781400068920,0,Random House,Jay-Z,http://www.amazon.com/Decoded-Jay-Z-ebook/dp/B003E8AIJS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400068920.jpg,The hip-hop star leads a narrative journey through his lyrics and his life.,2011-01-30,combined-print-and-e-book-nonfiction
9781596916715,0,Bloomsbury,Chelsea Handler,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781582346182.jpg,A memoir of one-night stands.,2011-01-30,combined-print-and-e-book-nonfiction
9780316017923,0,"Little, Brown",Malcolm Gladwell,http://www.amazon.com/Outliers-Story-Success-Malcolm-Gladwell/dp/0316017930?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316017930.jpg,"Why some people succeed; from the author of ""Blink"" and ""The Tipping Point."" Originally published in 2008.",2011-01-30,combined-print-and-e-book-nonfiction
9780316076203,0,"Little, Brown",Malcolm Gladwell,http://www.amazon.com/What-Dog-Saw-Other-Adventures/dp/0316075841?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316075848.jpg,A decade of Gladwell’s New Yorker essays.,2011-01-30,combined-print-and-e-book-nonfiction
9781101010914,0,Penguin Group,Elizabeth Gilbert,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780143058526.jpg,"A writer’s journey in search of self takes her to Italy, India and Indonesia.",2011-01-30,combined-print-and-e-book-nonfiction
9780679603757,2,Random House,Laura Hillenbrand,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400064168.jpg,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,2011-02-05,combined-print-and-e-book-nonfiction
9780849946158,2,Thomas Nelson,Todd Burpo with Lynn Vincent,http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780849949203.jpg,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,2011-02-05,combined-print-and-e-book-nonfiction
9780061997167,1,HarperCollins,Ree Drummond,http://www.amazon.com/The-Pioneer-Woman-Tractor-Wheels-ebook/dp/B004GUSI0O?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062084330.jpg,"The proprietor of ThePioneerWoman.com describes her marriage, or, as she puts it, her transition from “black heels to tractor wheels.”",2011-02-05,combined-print-and-e-book-nonfiction
9781594202841,2,Penguin Group,Amy Chua,http://www.amazon.com/Battle-Hymn-Tiger-Mother-Chua/dp/1594202842?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594202841.jpg,A Chinese-American mother makes a case for strict and demanding parenting.,2011-02-05,combined-print-and-e-book-nonfiction
9780307590619,2,Crown,George W Bush,http://www.amazon.com/Decision-Points-George-W-Bush/dp/0307590615?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307590619.jpg,"The former president’s memoir discusses his Christianity and the end of his drinking; his relationships with members of his family; and critical White House decisions on 9/11, Iraq and Katrina.",2011-02-05,combined-print-and-e-book-nonfiction
9780393338829,2,Norton,Michael Lewis,http://www.amazon.com/The-Big-Short-Doomsday-Machine-ebook/dp/B003LSTK8G?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780393072235.jpg,The people who saw the real estate crash coming and made billions from their foresight.,2011-02-05,combined-print-and-e-book-nonfiction
9780316001922,2,"Little, Brown",Stacy Schiff,http://www.amazon.com/Cleopatra-A-Life-Stacy-Schiff/dp/0316001929?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316001946.jpg,"This biography portrays the Macedonian-Egyptian queen in all her ambition, audacity and formidable intelligence.",2011-02-05,combined-print-and-e-book-nonfiction
9781400052172,2,Crown,Rebecca Skloot,http://www.amazon.com/The-Immortal-Life-Henrietta-Lacks/dp/1400052181?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400052189.jpg,The story of a woman whose cancer cells were extensively cultured without her permission in 1951.,2011-02-05,combined-print-and-e-book-nonfiction
9781416583431,2,Simon & Schuster,Alexandra Horowitz,http://www.amazon.com/Inside-Dog-What-Dogs-Smell/dp/1416583432?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781416583431.jpg,What the world is like from a dog’s point of view.,2011-02-05,combined-print-and-e-book-nonfiction
9780307265630,2,Knopf Doubleday,Brian Greene,http://www.amazon.com/The-Hidden-Reality-Parallel-Universes/dp/0307265633?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307595256.jpg,A physicist explains various theories involving the existence of parallel universes.,2011-02-05,combined-print-and-e-book-nonfiction
9780743247542,2,Simon & Schuster,Jeannette Walls,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780743247542.jpg,The author recalls a bizarre childhood during which she and her siblings were constantly moved from place to place.,2011-02-05,combined-print-and-e-book-nonfiction
9780062002945,2,HarperCollins,Justin Halpern,http://www.amazon.com/Sh-t-My-Dad-Says-ebook/dp/B003H4I58K?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062002945.jpg,"A coming-of-age memoir organized around the musings, purveyed on Twitter, of the author’s father.",2011-02-05,combined-print-and-e-book-nonfiction
9780316034388,2,"Little, Brown",Keith Richards with James Fox,http://www.amazon.com/Life-Keith-Richards/dp/031603441X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316128568.jpg,The Rolling Stones guitarist’s revealing autobiography is also a portrait of the era when rock ’n’ roll came of age.,2011-02-05,combined-print-and-e-book-nonfiction
9780143118701,1,Penguin Group,Elizabeth Gilbert,http://www.amazon.com/Committed-Elizabeth-GILBERT-Subject-Gilbert/dp/B007CKIL3O?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101189832.jpg,"The author of “Eat, Pray, Love” overcomes her ambivalence about marriage.",2011-02-05,combined-print-and-e-book-nonfiction
9780520267190,2,University of California,Mark Twain,http://www.amazon.com/Autobiography-Mark-Twain-Volume-Authoritative/dp/0520267192?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780520267190.jpg,"In his autobiography, published unexpurgated for the first time, Twain is pointedly political and willing to play the angry prophet.",2011-02-05,combined-print-and-e-book-nonfiction
9780143038412,0,Penguin Group,Elizabeth Gilbert,http://www.amazon.com/Eat-Pray-Love-Everything-Indonesia/dp/0143058525?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780143058526.jpg,"A writer’s journey in search of self takes her to Italy, India and Indonesia.",2011-02-05,combined-print-and-e-book-nonfiction
9780060936228,0,HarperCollins,Patti Smith,http://www.amazon.com/Just-Kids-Patti-Smith-ebook/dp/B003F1WM2K?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780060936228.jpg,The godmother of punk recalls her life with Robert Mapplethorpe and their yearnings for a life in art in the New York City of the 1960s and ’70s. First published in 2010.,2011-02-05,combined-print-and-e-book-nonfiction
9781401324315,0,Hyperion,Michael Waltrip and Ellis Henican,http://www.amazon.com/In-Blink-Eye-Daytona-Everything-ebook/dp/B004LB4F7S?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401324315.jpg,The race car driver’s memoir is built around the crash that killed Dale Earnhardt Sr. in 2001.,2011-02-05,combined-print-and-e-book-nonfiction
9781441200006,0,Baker,Don Piper with Cecil Murphey,http://www.amazon.com/Selections-90-Minutes-Heaven-Inspiring-ebook/dp/B001MV7JFU?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781441200006.jpg,A minister on the otherworldly experience he had after an accident.,2011-02-05,combined-print-and-e-book-nonfiction
9781596916715,0,Bloomsbury,Chelsea Handler,http://www.amazon.com/My-Horizontal-Life-Collection-One-Night/dp/1582346186?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781582346182.jpg,A memoir of one-night stands.,2011-02-05,combined-print-and-e-book-nonfiction
9780679603757,3,Random House,Laura Hillenbrand,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400064168.jpg,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,2011-02-12,combined-print-and-e-book-nonfiction
9780849946158,3,Thomas Nelson,Todd Burpo with Lynn Vincent,http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780849949203.jpg,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,2011-02-12,combined-print-and-e-book-nonfiction
9781595230676,1,Penguin Group,Donald Rumsfeld,http://www.amazon.com/Known-Unknown-Memoir-Donald-Rumsfeld-ebook/dp/B004I1JC5Q?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101502495.jpg,The former defense secretary’s memoir discusses his role in the invasion and occupation of Iraq.,2011-02-12,combined-print-and-e-book-nonfiction
9780316001922,3,"Little, Brown",Stacy Schiff,http://www.amazon.com/Cleopatra-A-Life-Stacy-Schiff/dp/0316001929?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316001946.jpg,"This biography portrays the Macedonian-Egyptian queen in all her ambition, audacity and formidable intelligence.",2011-02-12,combined-print-and-e-book-nonfiction
9780307590619,3,Crown,George W Bush,http://www.amazon.com/Decision-Points-George-W-Bush/dp/0307590615?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307590619.jpg,"The former president’s memoir discusses his Christianity and the end of his drinking; his relationships with members of his family; and critical White House decisions on 9/11, Iraq and Katrina.",2011-02-12,combined-print-and-e-book-nonfiction
