primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9781101946350,4,Vintage,E L James,http://www.amazon.com/Grey-Fifty-Shades-Told-Christian-ebook/dp/B00Y6QF0PE?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101946350.jpg,A sequel told from Christian’s point of view.,2015-07-11,e-book-fiction
9780698164895,1,Putnam,Catherine Coulter,http://www.amazon.com/Nemesis-FBI-Thriller-Catherine-Coulter/dp/0399171274?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780698164895.jpg,The F.B.I. agents Lacey Sherlock and Dillon Savich must discover who is responsible for bombings in New York City.,2015-07-11,e-book-fiction
9780698185395,26,Riverhead,Paula Hawkins,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594633669.jpg,A psychological thriller set in the environs of London is full of complications and betrayals.,2015-07-11,e-book-fiction
9781476717173,1,Emily Bestler/Atria,Brad Thor,http://www.amazon.com/Code-Conduct-Thriller-Scot-Harvath-ebook/dp/B00P1PD344?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781476717159.jpg,"In Thor’s 15th thriller, the counterterrorism operative Scot Harvath undertakes a deadly assignment set in motion by a leaked video.",2015-07-11,e-book-fiction
9780698180529,1,Jove,Christine Feehan,http://www.amazon.com/Earth-Bound-Sea-Haven-Novel/dp/0515155578?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780698180529.jpg,A stranger becomes infatuated with Lexi after freeing her from a cult’s clutches; a Sea Haven novel.,2015-07-11,e-book-fiction
9781101621219,11,Putnam,Nora Roberts,http://www.amazon.com/Whiskey-Beach-Nora-Roberts/dp/0399159894?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399159893.jpg,"A former criminal attorney who has been acquitted of his wife’s murder retreats to his family estate on a rocky New England cliff, where he is comforted by the house’s caretaker amid continuing danger. ",2015-07-11,e-book-fiction
9780062320155,2,Harper,Daniel Silva,http://www.amazon.com/The-English-Spy-Daniel-Silva-ebook/dp/B00NLM6AQW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062320155.jpg,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, helps British intelligence track down the killer of a beautiful former member of the royal family.",2015-07-11,e-book-fiction
9780316334501,4,"Little, Brown",Elin Hilderbrand,http://www.amazon.com/The-Rumor-Novel-Elin-Hilderbrand-ebook/dp/B00O7X61S6?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316334501.jpg,Two friends on Nantucket must deal with damaging gossip about themselves and their husbands.,2015-07-11,e-book-fiction
9781476789651,8,Simon & Schuster,Jessica Knoll,http://www.amazon.com/Luckiest-Girl-Alive-A-Novel-ebook/dp/B00LD1OITO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781476789651.jpg,The life of a cutthroat and successful New York magazine writer is shaken when secrets from her past are revealed during the filming of a documentary about a shooting at the prestigious high school she attended.,2015-07-11,e-book-fiction
9781466850606,18,St. Martin's,Kristin Hannah,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781466850606.jpg,"Two sisters in World War II France: one struggling to survive in the countryside, the other  joining the Resistance in Paris.",2015-07-11,e-book-fiction
9780804139038,0,Crown,Andy Weir,http://www.amazon.com/The-Martian-Novel-Andy-Weir-ebook/dp/B00EMXBDMA?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780804139038.jpg,"Separated from his crew, an astronaut embarks on a quest to stay alive on Mars. The basis of the movie.",2015-07-11,e-book-fiction
9781476746609,0,Scribner,Anthony Doerr,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781476746586.jpg,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.  ,2015-07-11,e-book-fiction
9781501101571,0,Gallery,Katy Evans,http://www.amazon.com/Manwhore-1-The-Series/dp/1501101552?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781501101571.jpg,,2015-07-11,e-book-fiction
A00B00VS3K6IY,0,Susan Stoker,Susan Stoker,,,,2015-07-11,e-book-fiction
9781633500068,0,Ampersand,Kristen Pro,http://www.amazon.com/Easy-Charm-Boudreaux-Series-Book-ebook/dp/B00Y47OX12?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781633500068.jpg,,2015-07-11,e-book-fiction
A00B00X6GYA6A,0,SOS Ladies,Elle James and others,,,,2015-07-11,e-book-fiction
9780316408738,0,"Little, Brown",James Patterson and Howard Roughan,http://www.amazon.com/Truth-Die-James-Patterson-ebook/dp/B00QQQL8VM?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316408738.jpg,A lawyer discovers a shocking secret that must be kept out of the wrong hands.,2015-07-11,e-book-fiction
9781101612989,0,Ace,Anthony Ryan,http://www.amazon.com/Queen-Fire-Ravens-Shadow-Novel/dp/0425265641?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101612989.jpg,,2015-07-11,e-book-fiction
9781927459713,0,Eve Langlais,Eve Langlais,http://www.amazon.com/When-Beta-Roars-Lions-Pride-ebook/dp/B00Y6QVXIM?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781927459713.jpg,,2015-07-11,e-book-fiction
9781402284328,0,Sourcebooks,Charles Belfoure,http://www.amazon.com/The-Paris-Architect-A-Novel-ebook/dp/B00DJBXASQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781402284328.jpg,,2015-07-11,e-book-fiction
9780062409874,1,Harper,Harper Lee,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062409850.jpg,"In the mid-1950s, a grown-up Jean Louise Finch returns to Maycomb and realizes that her adored father is a racist.",2015-07-18,e-book-fiction
9781101946350,5,Vintage,E L James,http://www.amazon.com/Grey-Fifty-Shades-Told-Christian-ebook/dp/B00Y6QF0PE?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101946350.jpg,A sequel told from Christian’s point of view.,2015-07-18,e-book-fiction
9780698185395,27,Riverhead,Paula Hawkins,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594633669.jpg,A psychological thriller set in the environs of London is full of complications and betrayals.,2015-07-18,e-book-fiction
9781101664247,1,Putnam,Stuart Woods,http://www.amazon.com/Naked-Greed-Stone-Barrington-Stuart/dp/0399174664?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101664247.jpg,"In the 34th Stone Barrington novel, the New York lawyer becomes the target of a group of toughs.",2015-07-18,e-book-fiction
