primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780062372123,3,Dey Street/Morrow,Holly Madison,http://www.amazon.com/Down-Rabbit-Hole-Adventures-Cautionary-ebook/dp/B00N81I5SC?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062372123.jpg,"Life inside the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.",2015-07-11,e-book-nonfiction
9781101622742,77,Penguin,Daniel James Brown,http://www.amazon.com/The-Boys-Boat-Americans-Olympics-ebook/dp/B00AEBETU2?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101622742.jpg,The University of Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.,2015-07-11,e-book-nonfiction
9780062092915,1,Harper,Karen Abbott,http://www.amazon.com/Liar-Temptress-Soldier-Spy-Undercover/dp/0062092898?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062092915.jpg,Four courageous women during the Civil War.,2015-07-11,e-book-nonfiction
9781588369895,1,Random House,Gail Caldwell,http://www.amazon.com/Lets-Take-Long-Way-Home/dp/1400067383?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780812979114.jpg,"A tribute to a deep friendship between two women writers, cemented by their love of dogs. Originally published in 2010.",2015-07-11,e-book-nonfiction
9780061867460,3,HarperCollins,Cokie Roberts,http://www.amazon.com/Founding-Mothers-Cokie-Roberts-ebook/dp/B0024CF0GQ?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780061867460.jpg,The ABC News commentator details the lives of the many women (Abigail Adams and Martha Washington among them) who ''raised our nation.'' Originally published in 2004.,2015-07-11,e-book-nonfiction
9780698179967,4,Penguin Press,Aziz Ansari with Eric Klinenberg,http://www.amazon.com/Modern-Romance-Aziz-Ansari-ebook/dp/B00OZ0TMYG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780698179967.jpg,The comedian enlists a sociologist to help him understand today’s dating scene.,2015-07-11,e-book-nonfiction
9781628723366,1,Arcade,Geoffrey Wansell,http://www.amazon.com/Cary-Grant-Angel-Geoffrey-Wansell-ebook/dp/B00CKX5KZK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781628723366.jpg,"A biography of the actor, with photographs. Originally published in 1997.",2015-07-11,e-book-nonfiction
9781476728766,10,Simon & Schuster,David McCullough,http://www.amazon.com/The-Wright-Brothers-David-McCullough-ebook/dp/B00LD1RWP6?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781476728742.jpg,The story of the bicycle mechanics from Ohio who ushered in the age of flight; by the author of “1776” and “The Greater Journey.”,2015-07-11,e-book-nonfiction
9780553446753,18,Crown,Erik Larson,http://www.amazon.com/Dead-Wake-Last-Crossing-Lusitania/dp/0307408868?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307408860.jpg,"The last voyage of the Lusitania, the passenger liner sunk by a German torpedo in 1915; by the author of ""The Devil in the White City.""",2015-07-11,e-book-nonfiction
9780385537612,1,Doubleday,David E Hoffman,http://www.amazon.com/The-Billion-Dollar-Spy-Espionage/dp/0385537603?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385537612.jpg,"A biography of Adolf Tolkachev, who spied for the United States inside the Soviet Union.",2015-07-11,e-book-nonfiction
9780767912549,0,Broadway,Michael Capuzzo,http://www.amazon.com/Close-Shore-Terrifying-Shark-Attacks-ebook/dp/B000FBFN2E?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780767912549.jpg,An account of the shark attacks along the New Jersey coast in the summer of 1916 combines terror with the atmospheric details of the time and place.,2015-07-11,e-book-nonfiction
9780061980596,0,HarperOne,Philip Jenkins,http://www.amazon.com/Lost-History-Christianity-Philip-Jenkins-ebook/dp/B001FA0V1C?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780061980596.jpg,"An alternative view of the history of the Christian church as the author argues that it once existed in the Middle East, Africa and Asia.",2015-07-11,e-book-nonfiction
