primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780553807059,1,Bantam,Dean R Koontz,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553807059.jpg,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",2008-05-24,hardcover-fiction
9780316068048,3,"Little, Brown",Stephenie Meyer,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316218504.jpg,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",2008-05-24,hardcover-fiction
9780312348670,2,St. Martin's,Emily Giffin,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780312348663.jpg,A woman's happy marriage is shaken when she encounters an old boyfriend.,2008-05-24,hardcover-fiction
9780399154188,1,Putnam,Patricia Cornwell,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780425228289.jpg,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",2008-05-24,hardcover-fiction
9780385517881,1,Doubleday,Chuck Palahniuk,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385517881.jpg,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,2008-05-24,hardcover-fiction
9780399155000,4,"Little, Brown",James Patterson and Gabrielle Charbonnet,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780446199445.jpg,A woman finds an unexpected love,2008-05-24,hardcover-fiction
9780446195973,3,Putnam,John Sandford,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780425227985.jpg,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,2008-05-24,hardcover-fiction
9780441015894,2,"Little, Brown",Jimmy Buffett,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780441015894.jpg,A Southern family tries to hide its pet pig at a New York luxury hotel.,2008-05-24,hardcover-fiction
9781416566380,3,Harper,Elizabeth George,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781416566380.jpg,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",2008-05-24,hardcover-fiction
9780778325505,5,Grand Central,David Baldacci,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780446539685.jpg,An intelligence agent and a journalist team up against a warmongering defense contractor.,2008-05-24,hardcover-fiction
