primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9781401216672,161,DC Comics,Alan Moore and Brian Bolland,http://www.amazon.com/Batman-Killing-Joke-Deluxe-Edition/dp/1401216676?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401216672.jpg,This critically acclaimed story from 1988 offers a possible origin for the Joker.,2015-07-11,hardcover-graphic-books
9781608198061,62,Bloomsbury,Roz Chast,http://www.amazon.com/Cant-Talk-about-Something-Pleasant/dp/1608198065?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781608198061.jpg,"In this memoir, the cartoonist examines her parents from their early days as mother and father to their later years facing old age and poor health.",2015-07-11,hardcover-graphic-books
9780345529374,47,Ballantine,Bryan Lee O'Malley,http://www.amazon.com/Seconds-Graphic-Bryan-Lee-OMalley/dp/0345529375?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780345529374.jpg,"A restaurant chef discovers how to go back and “fix” previous events in her life, but each change brings unintended, and potentially dangerous, consequences.",2015-07-11,hardcover-graphic-books
9781419715365,12,Abrams,Nathan Hale,http://www.amazon.com/Nathan-Hales-Hazardous-Tales-Abolitionist/dp/1419715364?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419715365.jpg,Harriet Tubman’s escape from slavery is the latest subject to be covered in this nonfiction series.,2015-07-11,hardcover-graphic-books
9781631490354,1,Liveright,Marcel Proust Adapted and,http://www.amazon.com/In-Search-Lost-Time-Graphic/dp/1631490354?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781631490354.jpg,"The first part of Proust’s seven–volume novel is adapted here, where the narrator recalls moments from his childhood.",2015-07-11,hardcover-graphic-books
9780307908278,12,Pantheon,Sydney Padua,http://www.amazon.com/The-Thrilling-Adventures-Lovelace-Babbage/dp/0307908275?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307908278.jpg,"This alternate history tale imagines a world where the mathematicians Charles Babbage and Ada Lovelace are able to build a mechanical, steam–powered computer in the 1840s.",2015-07-11,hardcover-graphic-books
9781401253325,4,DC Comics,"Cameron Stewart, Brenden Fletcher and Babs Tarr",http://www.amazon.com/Batgirl-Vol-The-Burnside-New/dp/1401253326?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401253325.jpg,"Barbara Gordon moves to Burnside, but Gotham’s hippest neighborhood has problems of its own: like twin sister assassins, blackmailers and a Batgirl impostor.",2015-07-11,hardcover-graphic-books
9781596435735,21,First Second,Scott McCloud,http://www.amazon.com/The-Sculptor-Scott-McCloud/dp/1596435739?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781596435735.jpg,"A young artist in a creative and financial rut makes a pact with Death where he is granted incredible powers, but has only 200 days to use them before he dies.",2015-07-11,hardcover-graphic-books
9781419708565,4,Abrams Books,Nathan Hale,http://www.amazon.com/Nathan-Hales-Hazardous-Tales-Donner/dp/1419708562?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419708565.jpg,This nonfiction graphic novel chronicles the various delays and mishaps that contributed to the disastrous Donner Party wagon train expedition in the 1840s.,2015-07-11,hardcover-graphic-books
9780545800709,9,Scholastic,Jeff Smith,http://www.amazon.com/BONE-Out-Boneville-Tribute-Edition/dp/0545800706?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545800709.jpg,"The great Bone saga begins in this new edition — with bonus material — as Fone Bone, Phoney Bone and Smiley Bone meet new friends, and some scary monsters, outside of Boneville.",2015-07-11,hardcover-graphic-books
9781401216672,162,DC Comics,Alan Moore and Brian Bolland,http://www.amazon.com/Batman-Killing-Joke-Deluxe-Edition/dp/1401216676?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401216672.jpg,This critically acclaimed story from 1988 offers a possible origin for the Joker.,2015-07-18,hardcover-graphic-books
9781401252366,1,DC Comics,"Geoff Johns, Ivan Reis and Jason Fabok",http://www.amazon.com/Justice-League-Vol-Injustice-America/dp/1401252362?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401252366.jpg,Tension mounts between the members of the League after the arrival of their newest member: Lex Luthor!,2015-07-18,hardcover-graphic-books
9781608198061,63,Bloomsbury,Roz Chast,http://www.amazon.com/Cant-Talk-about-Something-Pleasant/dp/1608198065?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781608198061.jpg,"In this memoir, the cartoonist examines her parents from their early days as mother and father to their later years facing old age and poor health.",2015-07-18,hardcover-graphic-books
9781631490354,2,Liveright,Marcel Proust Adapted and,http://www.amazon.com/In-Search-Lost-Time-Graphic/dp/1631490354?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781631490354.jpg,"The first part of Proust’s seven–volume novel is adapted here, where the narrator recalls moments from his childhood.",2015-07-18,hardcover-graphic-books
9781596435735,22,First Second,Scott McCloud,http://www.amazon.com/The-Sculptor-Scott-McCloud/dp/1596435739?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781596435735.jpg,"A young artist in a creative and financial rut makes a pact with Death where he is granted incredible powers, but has only 200 days to use them before he dies.",2015-07-18,hardcover-graphic-books
9781419715365,13,Abrams,Nathan Hale,http://www.amazon.com/Nathan-Hales-Hazardous-Tales-Abolitionist/dp/1419715364?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419715365.jpg,Harriet Tubman’s escape from slavery is the latest subject to be covered in this nonfiction series.,2015-07-18,hardcover-graphic-books
9780307908278,13,Pantheon,Sydney Padua,http://www.amazon.com/The-Thrilling-Adventures-Lovelace-Babbage/dp/0307908275?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307908278.jpg,"This alternate history tale imagines a world where the mathematicians Charles Babbage and Ada Lovelace are able to build a mechanical, steam–powered computer in the 1840s.",2015-07-18,hardcover-graphic-books
9781907704963,11,Nobrow Press,Pierre Christin and Olivier Balez,http://www.amazon.com/Robert-Moses-Master-Builder-York/dp/1907704965?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781907704963.jpg,"This biography chronicles the rise of Robert Moses, the urban planner who shaped New York City in the middle of the 20th century.",2015-07-18,hardcover-graphic-books
9780545800709,10,Scholastic,Jeff Smith,http://www.amazon.com/BONE-Out-Boneville-Tribute-Edition/dp/0545800706?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545800709.jpg,"The great Bone saga begins in this new edition — with bonus material — as Fone Bone, Phoney Bone and Smiley Bone meet new friends, and some scary monsters, outside of Boneville.",2015-07-18,hardcover-graphic-books
