primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9781476728742,10,Simon & Schuster,David McCullough,http://www.amazon.com/The-Wright-Brothers-David-McCullough-ebook/dp/B00LD1RWP6?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781476728742.jpg,The story of the bicycle mechanics from Ohio who ushered in the age of flight.,2015-07-11,hardcover-nonfiction
9781594206276,4,Penguin Press,Aziz Ansari with Eric Klinenberg,http://www.amazon.com/Modern-Romance-Aziz-Ansari-ebook/dp/B00OZ0TMYG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780698179967.jpg,The comedian enlists a sociologist to help him understand today’s dating scene.,2015-07-11,hardcover-nonfiction
9780062372109,3,Dey Street/Morrow,Holly Madison,http://www.amazon.com/Down-Rabbit-Hole-Adventures-Cautionary-ebook/dp/B00N81I5SC?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062372123.jpg,"Life inside the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.",2015-07-11,hardcover-nonfiction
9781501115639,1,Simon & Schuster,Jimmy Carter,http://www.amazon.com/Full-Life-Reflections-Thorndike-Nonfiction/dp/1410482022?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781501115639.jpg,"At 90, the 39th president (and Nobel Prize winner) reflects on his private and public life.",2015-07-11,hardcover-nonfiction
9780307408860,18,Crown,Erik Larson,http://www.amazon.com/Dead-Wake-Last-Crossing-Lusitania/dp/0307408868?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307408860.jpg,"The last voyage of the Lusitania, the passenger liner sunk by a German torpedo in 1915.",2015-07-11,hardcover-nonfiction
9781621572671,6,Regnery,Ann Coulter,http://www.amazon.com/Adios-America-Lefts-Country-Hellhole-ebook/dp/B00R3L7502?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781621572749.jpg,The political commentator denounces immigrants and their liberal supporters.,2015-07-11,hardcover-nonfiction
9780062365613,1,Broadside/HarperCollins,Ted Cruz,http://www.amazon.com/Time-Truth-Reigniting-Promise-America-ebook/dp/B00MTSKHTU?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062365637.jpg,"The Texas senator and Republican presidential candidate tells his personal and political story, denounces the lack of accountability in Washington and offers ideas for ""reigning the promise of America.""",2015-07-11,hardcover-nonfiction
9780805095159,40,Metropolitan/Holt,Atul Gawande,http://www.amazon.com/Being-Mortal-Medicine-What-Matters/dp/0805095152?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780805095159.jpg,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,2015-07-11,hardcover-nonfiction
9780812993257,13,Random House,David Brooks,http://www.amazon.com/The-Road-Character-David-Brooks/dp/081299325X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780812993257.jpg,The Times columnist extols personal virtues like kindness and honesty in a materialistic age.,2015-07-11,hardcover-nonfiction
9781451659160,2,Simon & Schuster,Rinker Buck,http://www.amazon.com/The-Oregon-Trail-American-Journey-ebook/dp/B00P434GOO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781451659184.jpg,"The author and his brother travel 2,000 miles by mule and wagon from Missouri to Oregon.",2015-07-11,hardcover-nonfiction
