primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780515155570,1,Jove,Christine Feehan,http://www.amazon.com/Earth-Bound-Sea-Haven-Novel/dp/0515155578?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780698180529.jpg,A stranger becomes infatuated with Lexi after freeing her from a cult's clutches.,2015-07-11,mass-market-paperback
9780062325358,2,Morrow/HarperCollins,Patricia Cornwell,http://www.amazon.com/Flesh-Blood-Scarpetta-Novel-Novels-ebook/dp/B00ICN2Z78?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062325365.jpg,Kay Scarpetta finds herself in pursuit of a serial sniper in the series's 22nd installment.,2015-07-11,mass-market-paperback
9780778317876,2,Mira,Ron Carr,http://www.amazon.com/A-New-Hope-Thunder-Point/dp/0778317870?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780778317876.jpg,"After a man makes a spectacle of himself at his sister's wedding, will he be able to make amends?",2015-07-11,mass-market-paperback
9780345530950,2,Dell,Danielle Steel,http://www.amazon.com/A-Perfect-Life-Novel-ebook/dp/B00HXYKYDE?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780345530943.jpg,A television anchor's on-air poise belies her unsettled life.,2015-07-11,mass-market-paperback
9781455591237,14,Vision,James Patterson and Michael Ledwidge,http://www.amazon.com/Zoo-James-Patterson-ebook/dp/B0076DFB2G?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780446571791.jpg,"After witnessing a lion ambush, a biologist races to warn world leaders about the reasons for escalating animal attacks on cities.",2015-07-11,mass-market-paperback
9780515155433,2,Jove,Catherine Coulter,http://www.amazon.com/Power-Play-FBI-Thriller-Book-ebook/dp/B00G3L0ZVY?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780698165786.jpg,An escaped psychopath seeks revenge against the F.B.I. agent who brought down his mother's cult.,2015-07-11,mass-market-paperback
9781420135923,2,Zebra,Fern Michaels,http://www.amazon.com/Plain-Sight-Sisterhood-Fern-Michaels-ebook/dp/B00ONTR6CO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781420135954.jpg,A presidential adviser meets his match when he abuses a member of the Sisterhood.,2015-07-11,mass-market-paperback
9780553573404,190,Bantam,George R R Martin,http://www.amazon.com/Game-Thrones-Song-Fire-Book-ebook/dp/B000QCS8TW?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780553897845.jpg,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering; Book 1 of ""A Song of Ice and Fire.""",2015-07-11,mass-market-paperback
9781455525911,2,Vision,Douglas Preston and Lincoln Child,http://www.amazon.com/Labyrinth-Agent-Pendergast-Douglas-Preston-ebook/dp/B00IRISI74?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781455525898.jpg,Family secrets impinge on a special agent's murder investigation.,2015-07-11,mass-market-paperback
9780345542939,7,Bantam,Janet Evanovich,http://www.amazon.com/Top-Secret-Twenty-One-Stephanie-Novel-ebook/dp/B00H1294XO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780345542946.jpg,The New Jersey bounty hunter Stephanie Plum pursues a popular used-car dealer who's been caught selling more than cars.,2015-07-11,mass-market-paperback
