primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780618871711,32,Houghton Mifflin Harcourt,Alison Bechdel,http://www.amazon.com/Fun-Home-A-Family-Tragicomic/dp/0618871713?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780618871711.jpg,"In her first memoir, the author chronicles the life and death of her father, a closeted gay man and funeral director.",2015-07-11,paperback-graphic-books
9780545326995,102,Scholastic,Raina Telgemeier,http://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545326995.jpg,"Middle-school drama becomes much more intense when Callie becomes the stage manager for a production of ""Moon Over Mississippi.""",2015-07-11,paperback-graphic-books
9780545132060,161,Scholastic,Raina Telgemeier,http://www.amazon.com/Smile-Raina-Telgemeier/dp/0545132061?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545132060.jpg,"Raina experiences braces, an earthquake, boy troubles, frenemies and other plagues of the sixth grade.",2015-07-11,paperback-graphic-books
9780545540605,47,Scholastic,Raina Telgemeier,http://www.amazon.com/Sisters-Raina-Telgemeier/dp/0545540607?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545540605.jpg,Raina is stuck in the back seat between her younger brother and sister for a weeklong road trip in this family memoir. Will such close quarters force the siblings to finally get along?,2015-07-11,paperback-graphic-books
9780375714573,49,Pantheon,Marjane Satrapi,http://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Novels/dp/037571457X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375714573.jpg,The author’s life in Iran during its 1979 revolution and its war with Iraq.,2015-07-11,paperback-graphic-books
9781632153272,2,Image Comics,Kieron Gillen and Jamie McKelvie,http://www.amazon.com/The-Wicked-Divine-Volume-Fandemonium/dp/1632153270?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781632153272.jpg,"After the death of Lucifer, the pop star gods and their fans prepare for the Ragnarock festival.",2015-07-11,paperback-graphic-books
9781419712173,35,Amulet,Cece Bell,http://www.amazon.com/El-Deafo-Cece-Bell/dp/1419712179?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419712173.jpg,"A young girl experiences hearing loss and receives the Phonic Ear, a bulky hearing aid that comes with a mischievous benefit: She can hear her teacher no matter where she goes in school.",2015-07-11,paperback-graphic-books
9780803740167,13,Dial Books,Victoria Jamieson,http://www.amazon.com/Roller-Girl-Victoria-Jamieson/dp/0803740166?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803740167.jpg,"Astrid decides to join a summer roller derby camp before she begins junior high, but can she keep up with the older girls and stay close to her best friend even though they are growing apart?",2015-07-11,paperback-graphic-books
9780062278227,8,HarperCollins,Noelle Stevenson,http://www.amazon.com/Nimona-Noelle-Stevenson/dp/0062278231?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062278234.jpg,Nimona is a shapeshifter and super villain in training who continually confounds her mentor with her unpredictability.,2015-07-11,paperback-graphic-books
9780545813877,11,Scholastic,Ann M Martin and Raina Telgemeier,http://www.amazon.com/Kristys-Great-Idea-Edition-Baby-Sitters/dp/0545813875?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545813877.jpg,Four best friends start a babysitting business in this all-color adaptation of the first book in the popular series.,2015-07-11,paperback-graphic-books
9781401252311,1,DC Comics,Scott Snyder and others,http://www.amazon.com/Batman-Eternal-Vol-The-New/dp/1401252311?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401252311.jpg,A string of disasters stretch Batman and his allies to the limit. Can one villain be behind them all?,2015-07-18,paperback-graphic-books
9781563893421,45,DC Comics,Frank Miller,http://www.amazon.com/Batman-The-Dark-Knight-Returns/dp/1563893428?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781563893421.jpg,Another classic from 1986: The caped crusader comes out of retirement to save Gotham City from a depraved street gang that are more monsters than man.,2015-07-18,paperback-graphic-books
9781596436749,1,First Second,"Asaf Hanuka, Tomer Hanuka and Boaz Lavie",http://www.amazon.com/The-Divine-Boaz-Lavie/dp/1596436743?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781596436749.jpg,"A former military officer accepts a lucrative, but dangerous assignment in the war–torn country of Quanlom, where magic and modern weapons co–exist.",2015-07-18,paperback-graphic-books
9780545132060,162,Scholastic,Raina Telgemeier,http://www.amazon.com/Smile-Raina-Telgemeier/dp/0545132061?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545132060.jpg,"Raina experiences braces, an earthquake, boy troubles, frenemies and other plagues of the sixth grade.",2015-07-18,paperback-graphic-books
9780545326995,103,Scholastic,Raina Telgemeier,http://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545326995.jpg,"Middle-school drama becomes much more intense when Callie becomes the stage manager for a production of ""Moon Over Mississippi.""",2015-07-18,paperback-graphic-books
9780545540605,48,Scholastic,Raina Telgemeier,http://www.amazon.com/Sisters-Raina-Telgemeier/dp/0545540607?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545540605.jpg,Raina is stuck in the back seat between her younger brother and sister for a weeklong road trip in this family memoir. Will such close quarters force the siblings to finally get along?,2015-07-18,paperback-graphic-books
9781607066019,81,Image Comics,Brian K Vaughan and Fiona Staples,http://www.amazon.com/Saga-Vol-Brian-K-Vaughan/dp/1607066017?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781607066019.jpg,"A newly married couple try to raise their child while avoiding robots, bounty hunters and an intergalactic war in this sci-fi fantasy series.",2015-07-18,paperback-graphic-books
9780785121794,7,Marvel Entertainment,Mark Millar and Steve McNiven,http://www.amazon.com/Civil-War-Mark-Millar/dp/078512179X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780785121794.jpg,A government registration act pits the Marvel heroes against each other.,2015-07-18,paperback-graphic-books
9781401207526,9,DC Comics,Frank Miller and David Mazzucchelli,http://www.amazon.com/Batman-Year-One-Frank-Miller/dp/1401207529?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401207526.jpg,"This critically-acclaimed story, from 1987, presents the earliest days of Bruce Wayne’s career as Batman.",2015-07-18,paperback-graphic-books
9780375714573,50,Pantheon,Marjane Satrapi,http://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Novels/dp/037571457X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375714573.jpg,The author’s life in Iran during its 1979 revolution and its war with Iraq.,2015-07-18,paperback-graphic-books
9781632153807,2,Image Comics,Scott Snyder and Jock,http://www.amazon.com/Wytches-Volume-1-Scott-Snyder/dp/1632153807?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781632153807.jpg,"This new horror series follows the Rook family, who move to Litchfield, N.H. to start a new life, only to find something terrifying waiting for them in the woods on the edge of town.",2015-07-25,paperback-graphic-books
9781401256029,1,DC Comics,Jeff Lemire and others,http://www.amazon.com/The-New-52-Futures-Vol/dp/1401256023?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401256029.jpg,"In this possible future, Brother Eye has an army of mind–controlled slaves and only Batman Beyond and Green Arrow can rally the remaining heroes to save the planet.",2015-07-25,paperback-graphic-books
9780545326995,104,Scholastic,Raina Telgemeier,http://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545326995.jpg,"Middle-school drama becomes much more intense when Callie becomes the stage manager for a production of ""Moon Over Mississippi.""",2015-07-25,paperback-graphic-books
9781401252380,1,DC Comics,Sean Ryan and others,http://www.amazon.com/New-Suicide-Squad-Vol-Insanity/dp/1401252389?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781401252380.jpg,"The Joker’s Daughter and Deathstroke join the latest iteration of this team of criminals, murderers and nutcases.",2015-07-25,paperback-graphic-books
