primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780143125471,59,Penguin,Daniel James Brown,http://www.amazon.com/The-Boys-Boat-Americans-Olympics-ebook/dp/B00AEBETU2?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101622742.jpg,A group of American rowers pursued gold at the 1936 Berlin Olympic Games.,2015-07-11,paperback-nonfiction
9780316322423,6,"Little, Brown",Malala Yousafzai with Christina Lamb,http://www.amazon.com/Am-Malala-Stood-Education-Taliban/dp/0316322407?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316322409.jpg,The Nobel Peace Prize-winner and teenage activist recounts her path to learning.,2015-07-11,paperback-nonfiction
9780316017930,195,"Back Bay/Little, Brown",Malcolm Gladwell,http://www.amazon.com/Outliers-Story-Success-Malcolm-Gladwell/dp/0316017930?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316017930.jpg,Why some people succeed — it has to do with luck and opportunities as well as talent.,2015-07-11,paperback-nonfiction
9780375725609,295,Vintage,Erik Larson,http://www.amazon.com/The-Devil-White-City-Madness/dp/0375725601?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375725609.jpg,A story of how an architect and a serial killer were linked by the World's Fair of 1893.,2015-07-11,paperback-nonfiction
9780743247542,367,Scribner,Jeannette Walls,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780743247542.jpg,The author recalls a bizarre childhood during which she was constantly on the move.,2015-07-11,paperback-nonfiction
9780374531263,91,"Sarah Crichton/Farrar, Straus & Giroux",Ishmael Beah,http://www.amazon.com/Long-Way-Gone-Memoirs-Soldier/dp/0374531269?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780374531263.jpg,A former child soldier's killing spree and return to humanity.,2015-07-11,paperback-nonfiction
9781400052189,178,Broadway,Rebecca Skloot,http://www.amazon.com/The-Immortal-Life-Henrietta-Lacks/dp/1400052181?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400052189.jpg,A woman's cancer cells were cultured without her permission in 1951.,2015-07-11,paperback-nonfiction
9780385528207,36,Spiegel & Grau,Wes Moore,http://www.amazon.com/The-Other-Wes-Moore-Fates/dp/0385528205?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385528207.jpg,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",2015-07-11,paperback-nonfiction
9780062376336,88,Morrow/HarperCollins,Chris Kyle with Scott McEwen and Jim DeFelice,http://www.amazon.com/American-Sniper-Autobiography-Military-History/dp/0062238868?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062082374.jpg,A memoir recounts the battlefield experiences in Iraq by the Navy SEALs sniper; a 2014 movie.,2015-07-11,paperback-nonfiction
9780812974492,50,Random House,Laura Hillenbrand,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781400064168.jpg,An Olympic runner’s story of survival as a prisoner of the Japanese during World War II after his plane went down over the Pacific. A 2014 movie.,2015-07-11,paperback-nonfiction
9780307476074,0,Vintage,Cheryl Strayed,http://www.amazon.com/Wild-Found-Pacific-Crest-Trail/dp/0307476073?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780307476074.jpg,"A woman’s account of the life-changing 1,100-mile solo hike she took along the Pacific Crest Trail in 1995. A 2014 movie.",2015-07-11,paperback-nonfiction
