primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780399255373,107,Philomel,Drew Daywalt,http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399255373.jpg,Problems arise when Duncan's crayons revolt.,2015-07-11,picture-books
9780803741713,41,Dial,B J Novak,http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803741713.jpg,Silly songs and sound effects in a book without images.,2015-07-11,picture-books
9780803736801,77,Dial,Adam Rubin,http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803736801.jpg,What to serve your dragon-guests.,2015-07-11,picture-books
9780811877824,197,Chronicle,Sherri Duskey Rinker and Tom Lichtenheld,http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780811877824.jpg,"As the sun sets, hard-working trucks get ready for bed.",2015-07-11,picture-books
9780811879545,200,Handprint/Chronicle,Hervé Tullet,http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780811879545.jpg,"A whimsical dance of color and motion, at the touch of a finger.",2015-07-11,picture-books
9781423199571,32,Hyperion,Mo Willems,http://www.amazon.com/Waiting-Easy-Elephant-Piggie-Book/dp/142319957X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423199571.jpg,Impatient Gerald has to wait for Piggie’s promised surprise.,2015-07-11,picture-books
9781419708459,57,Abrams,Andrea Beaty,http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419708459.jpg,A young inventor learns to fail better.,2015-07-11,picture-books
9780316199988,17,"Little, Brown",Dan Santat,http://www.amazon.com/The-Adventures-Beekle-Unimaginary-Friend/dp/0316199982?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316199988.jpg,A heretofore imaginary friend sets off to find a real child.,2015-07-11,picture-books
9781250009340,5,Feiwel & Friends,Jimmy Fallon,http://www.amazon.com/Your-Babys-First-Word-Will/dp/1250009340?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250009340.jpg,Animal fathers hope to hear a certain word from their little ones.,2015-07-11,picture-books
9781484716304,6,Hyperion,Mo Willems,http://www.amazon.com/Will-Take-Elephant-Piggie-Book/dp/1484716302?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781484716304.jpg,"Red-eyed Gerald needs some sleep, or is it Piggie who's due for a nap?",2015-07-11,picture-books
9780399255373,108,Philomel,Drew Daywalt,http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399255373.jpg,Problems arise when Duncan's crayons revolt.,2015-07-18,picture-books
9780803741713,42,Dial,B J Novak,http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803741713.jpg,Silly songs and sound effects in a book without images.,2015-07-18,picture-books
9780811877824,198,Chronicle,Sherri Duskey Rinker and Tom Lichtenheld,http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780811877824.jpg,"As the sun sets, hard-working trucks get ready for bed.",2015-07-18,picture-books
9780803736801,78,Dial,Adam Rubin,http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780803736801.jpg,What to serve your dragon-guests.,2015-07-18,picture-books
9780811879545,201,Handprint/Chronicle,Hervé Tullet,http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780811879545.jpg,"A whimsical dance of color and motion, at the touch of a finger.",2015-07-18,picture-books
9781423199571,33,Hyperion,Mo Willems,http://www.amazon.com/Waiting-Easy-Elephant-Piggie-Book/dp/142319957X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423199571.jpg,Impatient Gerald has to wait for Piggie’s promised surprise.,2015-07-18,picture-books
9781419708459,58,Abrams,Andrea Beaty,http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419708459.jpg,A young inventor learns to fail better.,2015-07-18,picture-books
