primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780316406895,6,"Little, Brown & Company",Chris Colfer,http://www.amazon.com/The-Land-Stories-Grimm-Warning/dp/0316406813?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316406819.jpg,Alex and Conner join forces with friends -- and enemies -- in these fairy tale adventures.,2015-07-18,series-books
9780385737951,145,Random House Publishing,James Dashner,http://www.amazon.com/The-Maze-Runner-Book-1/dp/0385737955?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385737951.jpg,Amnesiac teenagers endure a series of trials.,2015-07-18,series-books
9780439358071,330,Scholastic,J K Rowling,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780590353427.jpg,A wizard hones his conjuring skills in the service of fighting evil.,2015-07-18,series-books
9780062278784,91,HarperCollins Publishers,Veronica Roth,http://www.amazon.com/Divergent-Veronica-Roth/dp/0062024035?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062024039.jpg,A girl must prove herself in a dystopia divided into five factions.,2015-07-18,series-books
9781442487697,131,Simon & Schuster,Rachel Renée Russell,http://www.amazon.com/Dork-Diaries-Tales-Not-So-Glam-Star/dp/1442487674?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781442487673.jpg,Nikki Maxwell navigates the halls of middle school.,2015-07-18,series-books
9780062349873,48,HarperTeen,Kiera Cass,http://www.amazon.com/The-One-Selection-Kiera-Cass-ebook/dp/B00FJ2YTLK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062060013.jpg,A competition offers girls a chance to escape a life laid out since birth.,2015-07-18,series-books
9780545883771,3,Scholastic,Jeffrey Brown,http://www.amazon.com/The-Phantom-Bully-Star-Wars/dp/0545621267?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545621267.jpg,A jedi chronicles his training in these graphic novels.,2015-07-18,series-books
9781419711893,332,Abrams Books,Jeff Kinney,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419711329.jpg,The travails and challenges of adolescence.,2015-07-18,series-books
9780786838653,367,Disney Publishing Worldwide,Rick Riordan,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423131892.jpg,A boy battles mythological monsters.,2015-07-18,series-books
9780544336261,87,Houghton Mifflin Harcourt Publishing,Lois Lowry,http://www.amazon.com/The-Giver-Readers-Circle-Laurel-Leaf/dp/0440237688?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780440237686.jpg,Exploring human connection in a post-apocalyptic world.,2015-07-18,series-books
9780375893773,146,Random House Publishing,James Dashner,http://www.amazon.com/The-Maze-Runner-Book-1/dp/0385737955?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385737951.jpg,Amnesiac teenagers endure a series of trials.,2015-07-25,series-books
9780316406895,7,"Little, Brown & Company",Chris Colfer,http://www.amazon.com/The-Land-Stories-Grimm-Warning/dp/0316406813?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316406819.jpg,Fairy tales and classic stories collide.,2015-07-25,series-books
9780062104953,1,HarperCollins Publishers,Soman Chainani,http://www.amazon.com/School-Good-Evil-Soman-Chainani/dp/0062104896?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062104953.jpg,"Two friends are trained, one to be pure and one to be wicked.",2015-07-25,series-books
9780590353427,331,Scholastic,J K Rowling,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780590353427.jpg,A wizard hones his conjuring skills in the service of fighting evil.,2015-07-25,series-books
9781481443197,4,Simon & Schuster,Cassandra Clare and others,http://www.amazon.com/Whitechapel-Fiend-Tales-Shadowhunter-Academy-ebook/dp/B00OE2X6KG?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781481443166.jpg,"Shadowhunter training, in a companion series to The Mortal Instruments.",2015-07-25,series-books
9781419711893,333,Abrams Books,Jeff Kinney,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419711329.jpg,The travails and challenges of adolescence.,2015-07-25,series-books
9780062209276,92,HarperCollins Publishers,Veronica Roth,http://www.amazon.com/Divergent-Veronica-Roth/dp/0062024035?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062024039.jpg,A girl must prove herself in a dystopia divided into five factions.,2015-07-25,series-books
9780062349873,49,HarperTeen,Kiera Cass,http://www.amazon.com/The-One-Selection-Kiera-Cass-ebook/dp/B00FJ2YTLK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062060013.jpg,A competition offers girls a chance to escape a life laid out since birth.,2015-07-25,series-books
9781442487697,132,Simon & Schuster,Rachel Renée Russell,http://www.amazon.com/Dork-Diaries-Tales-Not-So-Glam-Star/dp/1442487674?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781442487673.jpg,Nikki Maxwell navigates the halls of middle school.,2015-07-25,series-books
9780545883771,4,Scholastic,Jeffrey Brown,http://www.amazon.com/The-Phantom-Bully-Star-Wars/dp/0545621267?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780545621267.jpg,A jedi chronicles his training in these graphic novels.,2015-07-25,series-books
9780385738767,147,Random House Publishing,James Dashner,http://www.amazon.com/The-Maze-Runner-Book-1/dp/0385737955?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385737951.jpg,Amnesiac teenagers endure a series of trials.,2015-08-01,series-books
9780590353427,332,Scholastic,J K Rowling,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780590353427.jpg,A wizard hones his conjuring skills in the service of fighting evil.,2015-08-01,series-books
9780316406895,8,"Little, Brown & Company",Chris Colfer,http://www.amazon.com/The-Land-Stories-Grimm-Warning/dp/0316406813?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316406819.jpg,Fairy tales and classic stories collide.,2015-08-01,series-books
9780062104953,2,HarperCollins Publishers,Soman Chainani,http://www.amazon.com/School-Good-Evil-Soman-Chainani/dp/0062104896?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062104953.jpg,"Two friends are trained, one to be pure and one to be wicked.",2015-08-01,series-books
9780786838653,368,Disney Publishing Worldwide,Rick Riordan,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423131892.jpg,A boy battles mythological monsters.,2015-08-01,series-books
9780062209276,93,HarperCollins Publishers,Veronica Roth,http://www.amazon.com/Divergent-Veronica-Roth/dp/0062024035?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062024039.jpg,A girl must prove herself in a dystopia divided into five factions.,2015-08-01,series-books
9781419711893,334,Abrams Books,Jeff Kinney,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419711329.jpg,The travails and challenges of adolescence.,2015-08-01,series-books
9780544336261,88,Houghton Mifflin Harcourt Publishing,Lois Lowry,http://www.amazon.com/The-Giver-Readers-Circle-Laurel-Leaf/dp/0440237688?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780440237686.jpg,Exploring human connection in a post-apocalyptic world.,2015-08-01,series-books
9781442487697,133,Simon & Schuster,Rachel Renée Russell,http://www.amazon.com/Dork-Diaries-Tales-Not-So-Glam-Star/dp/1442487674?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781442487673.jpg,Nikki Maxwell navigates the halls of middle school.,2015-08-01,series-books
9780062349873,50,HarperTeen,Kiera Cass,http://www.amazon.com/The-One-Selection-Kiera-Cass-ebook/dp/B00FJ2YTLK?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062060013.jpg,A competition offers girls a chance to escape a life laid out since birth.,2015-08-01,series-books
9780385737951,148,Random House Publishing,James Dashner,http://www.amazon.com/The-Maze-Runner-Book-1/dp/0385737955?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385737951.jpg,Amnesiac teenagers endure a series of trials.,2015-08-08,series-books
9780590353427,333,Scholastic,J K Rowling,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780590353427.jpg,A wizard hones his conjuring skills in the service of fighting evil.,2015-08-08,series-books
9780062209276,94,HarperCollins Publishers,Veronica Roth,http://www.amazon.com/Divergent-Veronica-Roth/dp/0062024035?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062024039.jpg,A girl must prove herself in a dystopia divided into five factions.,2015-08-08,series-books
9780316406895,9,"Little, Brown & Company",Chris Colfer,http://www.amazon.com/The-Land-Stories-Grimm-Warning/dp/0316406813?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316406819.jpg,Fairy tales and classic stories collide.,2015-08-08,series-books
9780786838653,369,Disney Publishing Worldwide,Rick Riordan,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781423131892.jpg,A boy battles mythological monsters.,2015-08-08,series-books
9780544336261,89,Houghton Mifflin Harcourt Publishing,Lois Lowry,http://www.amazon.com/The-Giver-Readers-Circle-Laurel-Leaf/dp/0440237688?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780440237686.jpg,Exploring human connection in a post-apocalyptic world.,2015-08-08,series-books
9781419711893,335,Abrams Books,Jeff Kinney,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419711329.jpg,The travails and challenges of adolescence.,2015-08-08,series-books
9781466850880,1,St. Martin’s,Amanda Hocking,http://www.amazon.com/Frostfire-Kanin-Chronicles-Amanda-Hocking/dp/1250049822?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781466850880.jpg,"Bryn Aven, the Kanin people’s only hope, fights to clear her name, and the one person who can help is her greatest enemy.",2015-08-08,series-books
