primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9781250012579,1,St. Martin's Griffin,Rainbow Rowell,http://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250012579.jpg,The world opposes the love of two outcast teenagers.,2015-08-15,young-adult-hardcover
9780385376563,1,Delacorte,Colleen Houck,http://www.amazon.com/Reawakened-The-Series-Colleen-Houck/dp/0385376561?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385376563.jpg,A teenager helps a resurrected Egyptian prince battle an evil god.,2015-08-15,young-adult-hardcover
9780062310637,1,HarperTeen,Victoria Aveyard,http://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/0062310631?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062310637.jpg,A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.,2015-08-15,young-adult-hardcover
9781481418775,1,Simon & Schuster,Tommy Wallach,http://www.amazon.com/We-All-Looked-Tommy-Wallach/dp/1481418777?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781481418775.jpg,An asteroid disrupts the lives of a group of high school seniors.,2015-08-15,young-adult-hardcover
9780385741262,1,Delacorte,E Lockhart,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375984402.jpg,Four friends decamp to a private island off Martha's Vineyard.,2015-08-15,young-adult-hardcover
9781442426733,1,Simon & Schuster,Jenny Han,http://www.amazon.com/P-S-I-Still-Love-You/dp/144242673X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781442426733.jpg,A girl wonders if she can be in love with two boys at once.,2015-08-15,young-adult-hardcover
9780385755887,1,Knopf,Jennifer Niven,http://www.amazon.com/All-Bright-Places-Jennifer-Niven/dp/0385755880?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385755887.jpg,An outcast helps a classmate recover from her sister’s death.,2015-08-15,young-adult-hardcover
9781250073808,1,St. Martin's Griffin,Rainbow Rowell,http://www.amazon.com/Fangirl-A-Novel-Rainbow-Rowell/dp/1250073804?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250073808.jpg,"Cath, a writer of popular fan fiction, struggles during her freshman year at college.",2015-08-15,young-adult-hardcover
9780451474704,1,Viking,Sarah Dessen,http://www.amazon.com/Saint-Anything-Sarah-Dessen/dp/0451474708?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780451474704.jpg,A girl meets a nurturing family after her brother goes to jail.,2015-08-15,young-adult-hardcover
9780399162428,1,Putnam,Rick Yancey,http://www.amazon.com/The-Infinite-Sea-Second-Book/dp/0399162429?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780399162428.jpg,Companions face a harsh choice in the follow-up to “The 5th Wave.”,2015-08-15,young-adult-hardcover
