primary_isbn13,weeks_on_list,publisher,author,amazon_product_url,book_image,description,list_date,list_name
9780142414934,123,Penguin Group,John Green,http://www.amazon.com/Paper-Towns-John-Green/dp/014241493X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142414934.jpg,"After a night of mischief, the girl Quentin loves disappears.",2015-07-11,young-adult
9780142402511,137,Penguin Group,John Green,http://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142402511.jpg,A boy finds excitement when he meets a girl named Alaska.,2015-07-11,young-adult
9781419719608,10,Abrams Books,Jesse Andrews,http://www.amazon.com/Earl-Dying-Girl-Revised-Edition/dp/1419719602?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419719608.jpg,A high school senior befriends a girl with cancer.,2015-07-11,young-adult
9780375842207,125,Knopf Doubleday Publishing,Markus Zusak,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375842207.jpg,A girl copes with life under the Nazis by stealing books.,2015-07-11,young-adult
9781594746031,104,Quirk Books,Ransom Riggs,http://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/1594746036?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746031.jpg,"An island, an abandoned orphanage and a collection of curious photographs.",2015-07-11,young-adult
9781627794701,1,Henry Holt & Company,Mary E Pearson,http://www.amazon.com/The-Heart-Betrayal-Remnant-Chronicles/dp/0805099247?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781627794701.jpg,"A princess, imprisoned in a walled city, hatches an escape plan with the young man she once spurned.",2015-07-11,young-adult
9780316013697,18,"Little, Brown & Company",Sherman Alexie and Ellen Forney,http://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316013697.jpg,A boy leaves his reservation to attend an all-white school.,2015-07-11,young-adult
9781101569184,137,Penguin Group,John Green,http://www.amazon.com/The-Fault-Stars-John-Green-ebook/dp/B005ZOBNOI?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101569184.jpg,A girl faces new realities when she learns she has cancer.,2015-07-11,young-adult
9780385755900,1,Knopf Doubleday Publishing,Jennifer Niven,http://www.amazon.com/All-Bright-Places-Jennifer-Niven/dp/0385755880?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385755887.jpg,An outcast helps a classmate recover from her sister’s death.,2015-07-11,young-adult
9780142415436,56,Penguin Group,Gayle Forman,http://www.amazon.com/If-I-Stay-Gayle-Forman/dp/014241543X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142415436.jpg,A young cellist falls into a coma.,2015-07-11,young-adult
9780142410707,0,Penguin Group,John Green,http://www.amazon.com/An-Abundance-Katherines-John-Green/dp/0142410705?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142410707.jpg,Colin Singleton wants to break the pattern of being dumped.,2015-07-11,young-adult
9781595141880,0,Penguin Group,Jay Asher,http://www.amazon.com/Thirteen-Reasons-Why-Jay-Asher/dp/159514188X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781595141880.jpg,"Before she commits suicide, a girl sends recordings to 13 people.",2015-07-11,young-adult
9781250012579,0,St. Martin's Press,Rainbow Rowell,http://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250012579.jpg,The world opposes the love of two outcast teenagers.,2015-07-11,young-adult
9780062310637,0,HarperCollins Publishers,Victoria Aveyard,http://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/0062310631?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062310637.jpg,A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.,2015-07-11,young-adult
9780385741262,0,Random House Publishing,E Lockhart,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375984402.jpg,Four friends decamp to a private island off Martha's Vineyard.,2015-07-11,young-adult
9780142414934,124,Penguin Group,John Green,http://www.amazon.com/Paper-Towns-John-Green/dp/014241493X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142414934.jpg,"After a night of mischief, the girl Quentin loves disappears.",2015-07-18,young-adult
9780142402511,138,Penguin Group,John Green,http://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142402511.jpg,A boy finds excitement when he meets a girl named Alaska.,2015-07-18,young-adult
9781419719608,11,Abrams Books,Jesse Andrews,http://www.amazon.com/Earl-Dying-Girl-Revised-Edition/dp/1419719602?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419719608.jpg,A high school senior befriends a girl with cancer.,2015-07-18,young-adult
9780375842207,126,Knopf Doubleday Publishing,Markus Zusak,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375842207.jpg,A girl copes with life under the Nazis by stealing books.,2015-07-18,young-adult
9780385755900,2,Knopf Doubleday Publishing,Jennifer Niven,http://www.amazon.com/All-Bright-Places-Jennifer-Niven/dp/0385755880?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385755887.jpg,An outcast helps a classmate recover from her sister’s death.,2015-07-18,young-adult
9780385753128,1,Random House Publishing,John Sandford and Michele Cook,http://www.amazon.com/Outrage-The-Singular-Menace-2/dp/0385753098?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780385753128.jpg,Shay wants vengeance against the sinister Singular Corporation; a Singular Menace book.,2015-07-18,young-adult
9780142410707,52,Penguin Group,John Green,http://www.amazon.com/An-Abundance-Katherines-John-Green/dp/0142410705?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142410707.jpg,Colin Singleton wants to break the pattern of being dumped.,2015-07-18,young-adult
9781594746031,105,Quirk Books,Ransom Riggs,http://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/1594746036?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746031.jpg,"An island, an abandoned orphanage and a collection of curious photographs.",2015-07-18,young-adult
9781101569184,138,Penguin Group,John Green,http://www.amazon.com/The-Fault-Stars-John-Green-ebook/dp/B005ZOBNOI?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101569184.jpg,A girl faces new realities when she learns she has cancer.,2015-07-18,young-adult
9780316013697,19,"Little, Brown & Company",Sherman Alexie and Ellen Forney,http://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316013697.jpg,A boy leaves his reservation to attend an all-white school.,2015-07-18,young-adult
9781250012579,0,St. Martin's Press,Rainbow Rowell,http://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250012579.jpg,The world opposes the love of two outcast teenagers.,2015-07-18,young-adult
9781595141880,0,Penguin Group,Jay Asher,http://www.amazon.com/Thirteen-Reasons-Why-Jay-Asher/dp/159514188X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781595141880.jpg,"Before she commits suicide, a girl sends recordings to 13 people.",2015-07-18,young-adult
9780062310637,0,HarperCollins Publishers,Victoria Aveyard,http://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/0062310631?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062310637.jpg,A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.,2015-07-18,young-adult
9780385741262,0,Random House Publishing,E Lockhart,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375984402.jpg,Four friends decamp to a private island off Martha's Vineyard.,2015-07-18,young-adult
9781594747359,0,Quirk Books,Ransom Riggs,http://www.amazon.com/Hollow-City-Peregrines-Peculiar-Children/dp/1594746125?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746123.jpg,"In 1940 London, Jacob Portman and his friends try to find a cure for their headmistress.",2015-07-18,young-adult
9781101010938,125,Penguin Group,John Green,http://www.amazon.com/Paper-Towns-John-Green/dp/014241493X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142414934.jpg,"After a night of mischief, the girl Quentin loves disappears.",2015-07-25,young-adult
9780142402511,139,Penguin Group,John Green,http://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142402511.jpg,A boy finds excitement when he meets a girl named Alaska.,2015-07-25,young-adult
9781419719608,12,Abrams Books,Jesse Andrews,http://www.amazon.com/Earl-Dying-Girl-Revised-Edition/dp/1419719602?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419719608.jpg,A high school senior befriends a girl with cancer.,2015-07-25,young-adult
9780375842207,127,Knopf Doubleday Publishing,Markus Zusak,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375842207.jpg,A girl copes with life under the Nazis by stealing books.,2015-07-25,young-adult
9780142410707,53,Penguin Group,John Green,http://www.amazon.com/An-Abundance-Katherines-John-Green/dp/0142410705?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142410707.jpg,Colin Singleton wants to break the pattern of being dumped.,2015-07-25,young-adult
9781594746031,106,Quirk Books,Ransom Riggs,http://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/1594746036?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746031.jpg,"An island, an abandoned orphanage and a collection of curious photographs.",2015-07-25,young-adult
9781101569184,139,Penguin Group,John Green,http://www.amazon.com/The-Fault-Stars-John-Green-ebook/dp/B005ZOBNOI?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101569184.jpg,A girl faces new realities when she learns she has cancer.,2015-07-25,young-adult
9780316013697,20,"Little, Brown & Company",Sherman Alexie and Ellen Forney,http://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316013697.jpg,A boy leaves his reservation to attend an all-white school.,2015-07-25,young-adult
9781250012579,58,St. Martin's Press,Rainbow Rowell,http://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250012579.jpg,The world opposes the love of two outcast teenagers.,2015-07-25,young-adult
9780385741262,30,Random House Publishing,E Lockhart,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375984402.jpg,Four friends decamp to a private island off Martha's Vineyard.,2015-07-25,young-adult
9781451696196,0,Simon & Schuster,Stephen Chbosky,http://www.amazon.com/Perks-Being-Wallflower-Stephen-Chbosky/dp/1451696191?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781451696196.jpg,What it's like to grow up.,2015-07-25,young-adult
9781595141880,0,Penguin Group,Jay Asher,http://www.amazon.com/Thirteen-Reasons-Why-Jay-Asher/dp/159514188X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781595141880.jpg,"Before she commits suicide, a girl sends recordings to 13 people.",2015-07-25,young-adult
9780142425831,0,Penguin Group,Rick Yancey,http://www.amazon.com/The-5th-Wave-Rick-Yancey-ebook/dp/B009VMC7UO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101598962.jpg,Aliens land on earth and the apocalypse begins. ,2015-07-25,young-adult
9780142418475,0,Penguin Group,John Green and David Levithan,http://www.amazon.com/Will-Grayson-John-Green/dp/0142418471?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142418475.jpg,Two boys with the same name join forces in a reality possible only in musical theater.,2015-07-25,young-adult
9780062310637,0,HarperCollins Publishers,Victoria Aveyard,http://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/0062310631?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062310637.jpg,A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.,2015-07-25,young-adult
9780142414934,126,Penguin Group,John Green,http://www.amazon.com/Paper-Towns-John-Green/dp/014241493X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142414934.jpg,"After a night of mischief, the girl Quentin loves disappears.",2015-08-01,young-adult
9780142402511,140,Penguin Group,John Green,http://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142402511.jpg,A boy finds excitement when he meets a girl named Alaska.,2015-08-01,young-adult
9781419719608,13,Abrams Books,Jesse Andrews,http://www.amazon.com/Earl-Dying-Girl-Revised-Edition/dp/1419719602?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419719608.jpg,A high school senior befriends a girl with cancer.,2015-08-01,young-adult
9780375842207,128,Knopf Doubleday Publishing,Markus Zusak,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375842207.jpg,A girl copes with life under the Nazis by stealing books.,2015-08-01,young-adult
9781594746031,107,Quirk Books,Ransom Riggs,http://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/1594746036?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746031.jpg,"An island, an abandoned orphanage and a collection of curious photographs.",2015-08-01,young-adult
9781101569184,140,Penguin Group,John Green,http://www.amazon.com/The-Fault-Stars-John-Green-ebook/dp/B005ZOBNOI?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101569184.jpg,A girl faces new realities when she learns she has cancer.,2015-08-01,young-adult
9780142410707,54,Penguin Group,John Green,http://www.amazon.com/An-Abundance-Katherines-John-Green/dp/0142410705?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142410707.jpg,Colin Singleton wants to break the pattern of being dumped.,2015-08-01,young-adult
9780316013697,21,"Little, Brown & Company",Sherman Alexie and Ellen Forney,http://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316013697.jpg,A boy leaves his reservation to attend an all-white school.,2015-08-01,young-adult
9781250012579,59,St. Martin's Press,Rainbow Rowell,http://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250012579.jpg,The world opposes the love of two outcast teenagers.,2015-08-01,young-adult
9781595141880,60,Penguin Group,Jay Asher,http://www.amazon.com/Thirteen-Reasons-Why-Jay-Asher/dp/159514188X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781595141880.jpg,"Before she commits suicide, a girl sends recordings to 13 people.",2015-08-01,young-adult
9781451696196,0,Simon & Schuster,Stephen Chbosky,http://www.amazon.com/Perks-Being-Wallflower-Stephen-Chbosky/dp/1451696191?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781451696196.jpg,What it's like to grow up.,2015-08-01,young-adult
9780142425831,0,Penguin Group,Rick Yancey,http://www.amazon.com/The-5th-Wave-Rick-Yancey-ebook/dp/B009VMC7UO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101598962.jpg,Aliens land on earth and the apocalypse begins. ,2015-08-01,young-adult
9781594747359,0,Quirk Books,Ransom Riggs,http://www.amazon.com/Hollow-City-Peregrines-Peculiar-Children/dp/1594746125?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746123.jpg,"In 1940 London, Jacob Portman and his friends try to find a cure for their headmistress.",2015-08-01,young-adult
9780142418475,0,Penguin Group,John Green and David Levithan,http://www.amazon.com/Will-Grayson-John-Green/dp/0142418471?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142418475.jpg,Two boys with the same name join forces in a reality possible only in musical theater.,2015-08-01,young-adult
9780142415436,0,Penguin Group,Gayle Forman,http://www.amazon.com/If-I-Stay-Gayle-Forman/dp/014241543X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142415436.jpg,A young cellist falls into a coma.,2015-08-01,young-adult
9780142414934,127,Penguin Group,John Green,http://www.amazon.com/Paper-Towns-John-Green/dp/014241493X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142414934.jpg,"After a night of mischief, the girl Quentin loves disappears.",2015-08-08,young-adult
9780142402511,141,Penguin Group,John Green,http://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142402511.jpg,A boy finds excitement when he meets a girl named Alaska.,2015-08-08,young-adult
9781419719608,14,Abrams Books,Jesse Andrews,http://www.amazon.com/Earl-Dying-Girl-Revised-Edition/dp/1419719602?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781419719608.jpg,A high school senior befriends a girl with cancer.,2015-08-08,young-adult
9780375842207,129,Knopf Doubleday Publishing,Markus Zusak,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780375842207.jpg,A girl copes with life under the Nazis by stealing books.,2015-08-08,young-adult
9781594746031,108,Quirk Books,Ransom Riggs,http://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/1594746036?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746031.jpg,"An island, an abandoned orphanage and a collection of curious photographs.",2015-08-08,young-adult
9781101569184,141,Penguin Group,John Green,http://www.amazon.com/The-Fault-Stars-John-Green-ebook/dp/B005ZOBNOI?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101569184.jpg,A girl faces new realities when she learns she has cancer.,2015-08-08,young-adult
9780316013697,22,"Little, Brown & Company",Sherman Alexie and Ellen Forney,http://www.amazon.com/Absolutely-True-Diary-Part-Time-Indian/dp/0316013692?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780316013697.jpg,A boy leaves his reservation to attend an all-white school.,2015-08-08,young-adult
9780142410707,55,Penguin Group,John Green,http://www.amazon.com/An-Abundance-Katherines-John-Green/dp/0142410705?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142410707.jpg,Colin Singleton wants to break the pattern of being dumped.,2015-08-08,young-adult
9781250012579,60,St. Martin's Press,Rainbow Rowell,http://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781250012579.jpg,The world opposes the love of two outcast teenagers.,2015-08-08,young-adult
9781595141880,61,Penguin Group,Jay Asher,http://www.amazon.com/Thirteen-Reasons-Why-Jay-Asher/dp/159514188X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781595141880.jpg,"Before she commits suicide, a girl sends recordings to 13 people.",2015-08-08,young-adult
9780142425831,0,Penguin Group,Rick Yancey,http://www.amazon.com/The-5th-Wave-Rick-Yancey-ebook/dp/B009VMC7UO?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781101598962.jpg,Aliens land on earth and the apocalypse begins. ,2015-08-08,young-adult
9781594747359,0,Quirk Books,Ransom Riggs,http://www.amazon.com/Hollow-City-Peregrines-Peculiar-Children/dp/1594746125?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9781594746123.jpg,"In 1940 London, Jacob Portman and his friends try to find a cure for their headmistress.",2015-08-08,young-adult
9780142418475,0,Penguin Group,John Green and David Levithan,http://www.amazon.com/Will-Grayson-John-Green/dp/0142418471?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142418475.jpg,Two boys with the same name join forces in a reality possible only in musical theater.,2015-08-08,young-adult
9780142415436,0,Penguin Group,Gayle Forman,http://www.amazon.com/If-I-Stay-Gayle-Forman/dp/014241543X?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780142415436.jpg,A young cellist falls into a coma.,2015-08-08,young-adult
9780062310637,0,HarperCollins Publishers,Victoria Aveyard,http://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/0062310631?tag=thenewyorktim-20,https://s1.nyt.com/du/books/images/9780062310637.jpg,A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.,2015-08-08,young-adult
